Time, User ID, Task, Event, Sucess, Response Time (Critical Time)
7.3, Dsktp_mai, SYSMON, Normally OFF Light, True, 5.2658
7.9, Dsktp_mai, SYSMON, Normally ON Light, True, 5.8906
8.9, Dsktp_mai, SYSMON, Scale, True, 6.8676(0.0000)
10.3, Dsktp_mai, SYSMON, Scale, True, 7.5240(0.7526)
17.0, [ ], SYSMON, Scale, False, 7.5240(7.5435)
17.1, [ ], SYSMON, Scale, False, 7.5240(7.5483)
28.6, Dsktp_mai, SYSMON, Normally OFF Light, True, 4.5465
29.2, Dsktp_mai, SYSMON, Normally ON Light, True, 5.2174
30.4, Dsktp_mai, SYSMON, Scale, True, 6.4087(0.0000)
30.9, Dsktp_mai, SYSMON, Scale, True, 6.8862(0.0000)
31.4, Dsktp_mai, SYSMON, Scale, True, 7.4099(0.0000)
32.2, Dsktp_mai, SYSMON, Scale, True, 7.7423(0.4367)
47.8, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.8389
48.5, Dsktp_mai, SYSMON, Normally ON Light, True, 2.5390
49.3, Dsktp_mai, SYSMON, Scale, True, 3.3593(0.0000)
49.9, Dsktp_mai, SYSMON, Scale, True, 3.9142(0.0000)
50.5, Dsktp_mai, SYSMON, Scale, True, 4.4248(0.0000)
51.1, Dsktp_mai, SYSMON, Scale, True, 5.0932(0.0000)
72.8, VR_U3, SYSMON, Normally OFF Light, True, 4.8522
74.7, VR_U3, SYSMON, Scale, True, 6.7278(0.0000)
75.9, VR_U3, SYSMON, Normally ON Light, True, 7.8708
76.8, VR_U3, SYSMON, Scale, True, 7.5249(1.2802)
77.4, VR_U3, SYSMON, Scale, True, 7.5249(1.8269)
80.6, VR_U3, SYSMON, Scale, True, 7.7339(4.9650)
94.0, VR_U3, SYSMON, Normally OFF Light, True, 4.0136
96.8, VR_U3, SYSMON, Scale, True, 6.8939(0.0000)
97.6, VR_U3, SYSMON, Scale, True, 7.5066(0.1087)
98.3, VR_U3, SYSMON, Scale, True, 7.5066(0.7709)
98.9, VR_U3, SYSMON, Scale, True, 7.5066(1.3654)
99.5, VR_U3, SYSMON, Normally ON Light, True, 9.5521
140.9, VR_U3, SYSMON, Normally OFF Light, True, 10.9481
143.7, VR_U3, SYSMON, Scale, True, 7.7463(5.9302)
145.1, [ ], SYSMON, Scale, False, 7.5279(7.5540)
145.1, [ ], SYSMON, Scale, False, 7.5279(7.5980)
145.4, [ ], SYSMON, Scale, False, 7.7463(7.7520)
149.9, [ ], SYSMON, Normally ON Light, False, 20.0165
165.0, VR_U3, SYSMON, Normally OFF Light, True, 5.0714
175.1, [ ], SYSMON, Scale, False, 7.5388(7.5532)
175.1, [ ], SYSMON, Scale, False, 7.5388(7.5900)
175.6, [ ], SYSMON, Scale, False, 7.7606(7.8045)
175.7, [ ], SYSMON, Scale, False, 7.7606(7.7940)
180.0, [ ], SYSMON, Normally ON Light, False, 20.0220
196.6, Dsktp_mai, SYSMON, Normally OFF Light, True, 4.6513
198.1, VR_U3, SYSMON, Scale, True, 6.1002(0.0000)
198.7, VR_U3, SYSMON, Scale, True, 6.6701(0.0000)
203.1, Dsktp_mai, SYSMON, Scale, True, 7.7533(3.3328)
206.9, [ ], SYSMON, Scale, False, 7.5036(7.5223)
210.5, Dsktp_mai, SYSMON, Normally ON Light, True, 18.5072
216.3, VR_U3, SYSMON, Normally OFF Light, True, 2.3215
217.0, VR_U3, SYSMON, Scale, True, 3.0829(0.0000)
217.8, VR_U3, SYSMON, Scale, True, 3.7595(0.0000)
226.9, VR_U3, SYSMON, Normally ON Light, True, 12.9493
229.0, [ ], SYSMON, Scale, False, 7.5189(7.5266)
229.5, [ ], SYSMON, Scale, False, 7.7424(7.7809)
239.7, Dsktp_mai, SYSMON, Scale, True, 3.7601(0.0000)
240.1, Dsktp_mai, SYSMON, Scale, True, 4.1071(0.0000)
240.4, VR_U3, SYSMON, Normally OFF Light, True, 4.3774
240.6, Dsktp_mai, SYSMON, Scale, True, 4.6005(0.0000)
240.9, Dsktp_mai, SYSMON, Scale, True, 4.9584(0.0000)
241.6, Dsktp_mai, SYSMON, Normally ON Light, True, 5.5855
259.3, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.2579
259.7, Dsktp_mai, SYSMON, Normally ON Light, True, 1.7751
260.3, Dsktp_mai, SYSMON, Scale, True, 2.4008(0.0000)
260.8, Dsktp_mai, SYSMON, Scale, True, 2.8183(0.0000)
261.4, Dsktp_mai, SYSMON, Scale, True, 3.3842(0.0000)
261.8, Dsktp_mai, SYSMON, Scale, True, 3.8880(0.0000)
280.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
280.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
280.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
280.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
280.0, Dsktp_mai, SYSMON, Normally OFF Light, True, 0.0000
280.0, Dsktp_mai, SYSMON, Normally ON Light, True, 0.0000
280.2, [ ], SYSMON, Normally ON Light, False, 0.0785
280.2, [ ], SYSMON, Normally OFF Light, False, 0.0785
280.2, [ ], SYSMON, Scale, False, 0.0785(0.0000)
280.2, [ ], SYSMON, Scale, False, 0.0785(0.0000)
280.2, [ ], SYSMON, Scale, False, 0.0785(0.0000)
280.2, [ ], SYSMON, Scale, False, 0.0785(0.0000)
280.2, [ ], SYSMON, Normally ON Light, False, 0.0497
280.2, [ ], SYSMON, Normally OFF Light, False, 0.0497
280.2, [ ], SYSMON, Scale, False, 0.0497(0.0000)
280.2, [ ], SYSMON, Scale, False, 0.0497(0.0000)
280.2, [ ], SYSMON, Scale, False, 0.0497(0.0000)
280.2, [ ], SYSMON, Scale, False, 0.0497(0.0000)
280.3, [ ], SYSMON, Normally ON Light, False, 0.0512
280.3, [ ], SYSMON, Normally OFF Light, False, 0.0512
280.3, [ ], SYSMON, Scale, False, 0.0512(0.0000)
280.3, [ ], SYSMON, Scale, False, 0.0512(0.0000)
280.3, [ ], SYSMON, Scale, False, 0.0512(0.0000)
280.3, [ ], SYSMON, Scale, False, 0.0512(0.0000)
280.4, [ ], SYSMON, Normally ON Light, False, 0.0647
280.4, [ ], SYSMON, Normally OFF Light, False, 0.0647
280.4, [ ], SYSMON, Scale, False, 0.0647(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0647(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0647(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0647(0.0000)
280.4, [ ], SYSMON, Normally ON Light, False, 0.0481
280.4, [ ], SYSMON, Normally OFF Light, False, 0.0481
280.4, [ ], SYSMON, Scale, False, 0.0481(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0481(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0481(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0481(0.0000)
280.4, [ ], SYSMON, Normally ON Light, False, 0.0425
280.4, [ ], SYSMON, Normally OFF Light, False, 0.0425
280.4, [ ], SYSMON, Scale, False, 0.0425(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0425(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0425(0.0000)
280.4, [ ], SYSMON, Scale, False, 0.0425(0.0000)
280.5, [ ], SYSMON, Normally ON Light, False, 0.0479
280.5, [ ], SYSMON, Normally OFF Light, False, 0.0479
280.5, [ ], SYSMON, Scale, False, 0.0479(0.0000)
280.5, [ ], SYSMON, Scale, False, 0.0479(0.0000)
280.5, [ ], SYSMON, Scale, False, 0.0479(0.0000)
280.5, [ ], SYSMON, Scale, False, 0.0479(0.0000)
280.5, [ ], SYSMON, Normally ON Light, False, 0.0373
280.5, [ ], SYSMON, Normally OFF Light, False, 0.0373
280.5, [ ], SYSMON, Scale, False, 0.0373(0.0000)
280.5, [ ], SYSMON, Scale, False, 0.0373(0.0000)
280.5, [ ], SYSMON, Scale, False, 0.0373(0.0000)
280.5, [ ], SYSMON, Scale, False, 0.0373(0.0000)
280.6, [ ], SYSMON, Normally ON Light, False, 0.0383
280.6, [ ], SYSMON, Normally OFF Light, False, 0.0383
280.6, [ ], SYSMON, Scale, False, 0.0383(0.0000)
280.6, [ ], SYSMON, Scale, False, 0.0383(0.0000)
280.6, [ ], SYSMON, Scale, False, 0.0383(0.0000)
280.6, [ ], SYSMON, Scale, False, 0.0383(0.0000)
280.6, [ ], SYSMON, Normally ON Light, False, 0.0517
280.6, [ ], SYSMON, Normally OFF Light, False, 0.0517
280.6, [ ], SYSMON, Scale, False, 0.0517(0.0000)
280.6, [ ], SYSMON, Scale, False, 0.0517(0.0000)
280.6, [ ], SYSMON, Scale, False, 0.0517(0.0000)
280.6, [ ], SYSMON, Scale, False, 0.0517(0.0000)
280.7, [ ], SYSMON, Normally ON Light, False, 0.0572
