Time, User ID, Task, Event, Sucess, Response Time (Critical Time)
6.0, Dsktp_mai, SYSMON, Normally OFF Light, True, 3.9541
6.4, Dsktp_mai, SYSMON, Normally ON Light, True, 4.4321
7.3, Dsktp_mai, SYSMON, Scale, True, 5.3323(0.0000)
8.4, Dsktp_mai, SYSMON, Scale, True, 6.4341(0.0000)
8.9, Dsktp_mai, SYSMON, Scale, True, 6.8868(0.0000)
11.5, Dsktp_mai, SYSMON, Scale, True, 7.8095(1.6441)
26.3, VR_U3, SYSMON, Normally OFF Light, True, 2.2921
28.2, VR_U3, SYSMON, Scale, True, 4.1505(0.0000)
39.2, VR_U3, SYSMON, Scale, True, 7.7377(7.4873)
39.5, [ ], SYSMON, Scale, False, 7.7377(7.7692)
39.6, [ ], SYSMON, Scale, False, 7.7377(7.7530)
40.9, VR_U3, SYSMON, Normally ON Light, True, 16.9384
47.6, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.5610
48.3, Dsktp_mai, SYSMON, Normally ON Light, True, 2.2647
49.0, Dsktp_mai, SYSMON, Scale, True, 3.0411(0.0000)
49.6, Dsktp_mai, SYSMON, Scale, True, 3.5578(0.0000)
50.0, Dsktp_mai, SYSMON, Scale, True, 4.0360(0.0000)
53.3, Dsktp_mai, SYSMON, Scale, True, 7.2759(0.0000)
75.9, VR_U3, SYSMON, Normally OFF Light, True, 7.8383
76.8, VR_U3, SYSMON, Scale, True, 7.5379(1.2170)
77.6, VR_U3, SYSMON, Scale, True, 7.7907(1.7186)
79.3, Dsktp_mai, SYSMON, Scale, True, 7.5379(3.7332)
79.9, Dsktp_mai, SYSMON, Scale, True, 7.5379(4.3039)
88.1, [ ], SYSMON, Normally ON Light, False, 20.0079
91.0, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.0278
91.5, Dsktp_mai, SYSMON, Normally ON Light, True, 1.4998
92.3, Dsktp_mai, SYSMON, Scale, True, 2.2817(0.0000)
92.7, Dsktp_mai, SYSMON, Scale, True, 2.6494(0.0000)
93.1, Dsktp_mai, SYSMON, Scale, True, 3.0612(0.0000)
93.5, Dsktp_mai, SYSMON, Scale, True, 3.4643(0.0000)
113.6, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.5380
114.2, Dsktp_mai, SYSMON, Normally ON Light, True, 2.1429
114.9, Dsktp_mai, SYSMON, Scale, True, 2.8640(0.0000)
115.5, Dsktp_mai, SYSMON, Scale, True, 3.4521(0.0000)
116.1, Dsktp_mai, SYSMON, Scale, True, 4.0304(0.0000)
116.7, Dsktp_mai, SYSMON, Scale, True, 4.6084(0.0000)
138.6, Dsktp_mai, SYSMON, Normally OFF Light, True, 2.5920
139.5, Dsktp_mai, SYSMON, Scale, True, 3.4280(0.0000)
140.0, Dsktp_mai, SYSMON, Scale, True, 3.9030(0.0000)
140.4, Dsktp_mai, SYSMON, Scale, True, 4.3805(0.0000)
141.0, Dsktp_mai, SYSMON, Scale, True, 4.9728(0.0000)
141.7, Dsktp_mai, SYSMON, Normally ON Light, True, 5.6125
159.4, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.3922
160.4, Dsktp_mai, SYSMON, Normally ON Light, True, 2.3650
160.5, VR_U3, SYSMON, Scale, True, 2.4874(0.0000)
161.3, VR_U3, SYSMON, Scale, True, 3.2932(0.0000)
162.3, Dsktp_mai, SYSMON, Scale, True, 4.3141(0.0000)
162.9, Dsktp_mai, SYSMON, Scale, True, 4.9295(0.0000)
175.0, Dsktp_mai, SYSMON, Normally OFF Light, True, 4.9893
175.5, Dsktp_mai, SYSMON, Normally ON Light, True, 5.4737
177.7, Dsktp_mai, SYSMON, Scale, True, 7.6864(0.0000)
178.1, Dsktp_mai, SYSMON, Scale, True, 7.7800(0.3242)
180.4, VR_U3, SYSMON, Scale, True, 7.5241(2.8636)
183.6, VR_U3, SYSMON, Scale, True, 7.5241(6.0763)
191.9, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.8552
194.1, Dsktp_mai, SYSMON, Normally ON Light, True, 4.0032
194.6, VR_U3, SYSMON, Scale, True, 4.4840(0.0000)
194.7, Dsktp_mai, SYSMON, Scale, True, 4.6642(0.0000)
195.0, Dsktp_mai, SYSMON, Scale, True, 4.9437(0.0000)
195.1, VR_U3, SYSMON, Scale, True, 5.0204(0.0000)
232.0, Dsktp_mai, SYSMON, Normally OFF Light, True, 1.9066
232.8, Dsktp_mai, SYSMON, Normally ON Light, True, 2.7525
234.0, Dsktp_mai, SYSMON, Scale, True, 3.8869(0.0000)
234.3, Dsktp_mai, SYSMON, Scale, True, 4.2651(0.0000)
234.8, Dsktp_mai, SYSMON, Scale, True, 4.7107(0.0000)
235.4, Dsktp_mai, SYSMON, Scale, True, 5.3184(0.0000)
270.0, Dsktp_mai, SYSMON, Normally OFF Light, True, 0.0000
270.0, Dsktp_mai, SYSMON, Normally ON Light, True, 0.0000
270.0, VR_U3, SYSMON, Scale, True, 0.0000(0.0000)
270.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
270.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
270.0, Dsktp_mai, SYSMON, Scale, True, 0.0000(0.0000)
