HEAD,HANDL,HANDR
0.09257977;1.729403;-0.04293734;0.01220043;0.1313847;0.01060892;0.9911997,-0.1139538;0.9421904;0.2058669;0.1122365;0.2369485;0.6362963;0.7255242,0.3598186;0.9485737;0.1116273;0.1804563;-0.1862097;-0.6200138;0.7405028
0.09265722;1.729491;-0.04244588;0.01240953;0.1330242;0.01057744;0.9909787,-0.1136919;0.9426409;0.2084906;0.1093242;0.2388697;0.6361367;0.7254788,0.3611739;0.9467645;0.1092966;0.1812521;-0.1857721;-0.619916;0.7405003
0.09269275;1.729536;-0.04222572;0.01244082;0.1339709;0.01043863;0.9908522,-0.1140181;0.9433554;0.2117354;0.105796;0.2413762;0.6353038;0.7259021,0.3616886;0.9458618;0.1086296;0.181689;-0.1854825;-0.6198828;0.7404935
0.09264234;1.72951;-0.04200517;0.01234852;0.1351498;0.01030398;0.9906946,-0.114591;0.9445314;0.2158153;0.1022231;0.2436864;0.63434;0.7264848,0.362178;0.9449951;0.1080641;0.1821115;-0.1851791;-0.6198629;0.7404823
0.09265363;1.729548;-0.04178613;0.0124446;0.136237;0.0101432;0.9905462,-0.1150183;0.9457532;0.2198741;0.09856462;0.2453532;0.6336142;0.7270626,0.3626572;0.9441851;0.1070892;0.1824206;-0.1849378;-0.6198577;0.7404709
0.09272981;1.729546;-0.0414813;0.01246484;0.1374765;0.009654356;0.9903796,-0.1152627;0.9469535;0.2235997;0.09525931;0.2459674;0.6335085;0.7273875,0.3630548;0.9432276;0.1065044;0.182858;-0.1845306;-0.6198695;0.7404547
0.0927953;1.729609;-0.04118133;0.0127054;0.1386817;0.009122587;0.9902135,-0.1152178;0.9475884;0.2255311;0.09329081;0.2457788;0.6339109;0.727356,0.363387;0.9423307;0.1060959;0.1832092;-0.1840956;-0.619889;0.74046
0.09283282;1.729748;-0.04085348;0.01313774;0.1398858;0.008254468;0.9900461,-0.1150164;0.9482088;0.2269263;0.09004654;0.2448308;0.6352205;0.7269418,0.3637286;0.9413625;0.1056875;0.1834346;-0.1836457;-0.6198978;0.7405086
0.09287151;1.729959;-0.04052643;0.01370749;0.1410358;0.007488766;0.9898813,-0.1149747;0.9486254;0.2274848;0.08571385;0.2434577;0.6371527;0.7262353,0.3639577;0.9407358;0.1054335;0.1835082;-0.1833312;-0.6199018;0.7405648
0.0930998;1.730189;-0.04012281;0.01421399;0.1420039;0.006712191;0.9897413,-0.1148548;0.9489861;0.2279404;0.07987502;0.2424468;0.6391307;0.7255009,0.3642573;0.9398838;0.1052447;0.1835095;-0.1827709;-0.6199059;0.7406995
0.09343103;1.730309;-0.0397542;0.01443976;0.1425608;0.006073982;0.9896621,-0.1141496;0.9494501;0.2292617;0.07305361;0.2422128;0.6406537;0.7249545,0.3645196;0.9390702;0.1051773;0.183326;-0.1820464;-0.6199203;0.7409114
0.09368122;1.73032;-0.03942601;0.01441396;0.1431986;0.005155145;0.9895756,-0.11312;0.9503848;0.2323322;0.06547813;0.2425091;0.6417472;0.724612,0.364759;0.9382907;0.1051651;0.1829117;-0.1811793;-0.6199569;0.7411956
0.09406309;1.730262;-0.03904425;0.01419569;0.1438406;0.004077827;0.9894906,-0.1123838;0.9513329;0.2351626;0.05995545;0.242726;0.6425478;0.7243078,0.3649139;0.9377715;0.1051888;0.1824974;-0.1805286;-0.6199974;0.7414226
0.09453905;1.730149;-0.03867945;0.01397031;0.1445442;0.002536833;0.9893965,-0.1110559;0.9529996;0.2399346;0.05113508;0.2427726;0.6445501;0.7231887,0.365147;0.9369932;0.1052509;0.1816721;-0.1794525;-0.6201208;0.7417833
0.09499344;1.730076;-0.03837174;0.01397594;0.1450221;0.000850332;0.9893294,-0.1090467;0.9546226;0.2445952;0.04199578;0.2428377;0.6467517;0.7217883,0.3653091;0.936442;0.1052993;0.1809784;-0.1786286;-0.6202687;0.7420279
0.0953989;1.730144;-0.03814903;0.01449923;0.1453685;-0.0006361523;0.9892712,-0.10773;0.955748;0.2476558;0.0358184;0.2428408;0.6484869;0.7205623,0.3655464;0.9358487;0.1053796;0.1798044;-0.1772955;-0.6206073;0.7423499
0.09591185;1.730307;-0.03790472;0.01545987;0.1455787;-0.002075891;0.9892237,-0.1052896;0.9574218;0.2523629;0.02686195;0.2429567;0.6512746;0.7183954,0.3657925;0.9354141;0.1054451;0.1783562;-0.1757488;-0.6211505;0.7426127
0.09653364;1.730412;-0.0377809;0.01680904;0.1455018;-0.003332834;0.9892096,-0.1022867;0.959233;0.2573049;0.01877066;0.2437575;0.6535853;0.7162794,0.365917;0.9352671;0.1052065;0.1764947;-0.1738271;-0.6219164;0.7428687
0.09718079;1.730471;-0.03772737;0.0181502;0.1451303;-0.004297201;0.9892367,-0.09901027;0.9613346;0.2630865;0.01153719;0.2460423;0.6546463;0.7146806,0.3668102;0.9325766;0.1046016;0.1742992;-0.1715067;-0.6227928;0.7431921
0.09777196;1.730509;-0.03771277;0.01919296;0.1447104;-0.005178979;0.9892744,-0.09710733;0.9629756;0.2675247;0.0071567;0.2486978;0.6543822;0.7140603,0.3679455;0.9300696;0.1036203;0.1722175;-0.169064;-0.623503;0.7436414
0.0986298;1.730399;-0.03766896;0.020121;0.1440224;-0.006292148;0.9893498,-0.09468105;0.9669628;0.278279;-0.00153181;0.256626;0.6517833;0.7136661,0.3689361;0.9284062;0.1028403;0.1707337;-0.1668778;-0.6238557;0.7441814
0.0994122;1.7303;-0.03765613;0.02096674;0.1433045;-0.007868534;0.9894252,-0.09408199;0.9694133;0.2844818;-0.005922392;0.2614458;0.6499681;0.7135492,0.369589;0.9272833;0.1023163;0.1702255;-0.165698;-0.6238701;0.7445492
0.100185;1.730282;-0.03769355;0.02183003;0.1423508;-0.009840989;0.9895266,-0.09320302;0.9738556;0.2947997;-0.01325853;0.2695543;0.6473891;0.7127777,0.370582;0.9266963;0.1006498;0.1702133;-0.164583;-0.6235322;0.7450822
0.1008616;1.730331;-0.03773144;0.02276973;0.1415384;-0.01192407;0.989599,-0.09157491;0.9789343;0.3055431;-0.0210939;0.2779714;0.6458402;0.7107584,0.3714413;0.9266678;0.09960549;0.1709013;-0.164343;-0.6228136;0.7455786
0.1016034;1.730439;-0.0377774;0.02393218;0.1407379;-0.01388329;0.9896602,-0.08957557;0.9826091;0.3128014;-0.02672455;0.2837756;0.6455792;0.7085087,0.3719374;0.9264736;0.09891193;0.1750448;-0.1664398;-0.6189035;0.7474058
0.1024854;1.730523;-0.03780924;0.02525781;0.1398345;-0.01583449;0.9897261,-0.08485673;0.9885354;0.3240539;-0.03580265;0.2928478;0.646164;0.7038682,0.3716117;0.9261405;0.09790634;0.185132;-0.1751833;-0.6087653;0.7512934
0.1033231;1.730589;-0.03787692;0.02644255;0.1389048;-0.01783788;0.9897919,-0.07843862;0.9948208;0.3353634;-0.04506682;0.3022737;0.6475709;0.698034,0.3710254;0.9259377;0.09747297;0.1935512;-0.1843462;-0.5998021;0.754183
0.1041559;1.730684;-0.03797904;0.02766481;0.1378947;-0.01965874;0.9898653,-0.0759383;0.9970874;0.3392981;-0.04833747;0.305676;0.6480908;0.6958477,0.3698959;0.9256595;0.09675901;0.2087086;-0.2029052;-0.5824406;0.7589685
0.1049857;1.730824;-0.03800663;0.02876367;0.1370494;-0.02190822;0.9899041,-0.06259984;1.009011;0.3590389;-0.06463095;0.3231438;0.6496058;0.6851375,0.368393;0.925295;0.0956707;0.2256219;-0.225215;-0.5613017;0.7637496
0.1059084;1.731009;-0.03799569;0.02958022;0.1361187;-0.0244779;0.9899483,-0.05734418;1.014412;0.3672969;-0.07146542;0.3305569;0.6494069;0.6810988,0.3665743;0.9247738;0.09410022;0.2439523;-0.2492382;-0.5378282;0.767534
0.1067204;1.731072;-0.03802137;0.0302905;0.1353606;-0.02731154;0.9899566,-0.05144464;1.021896;0.3739647;-0.08147349;0.3417097;0.6482294;0.6755703,0.3649608;0.9239998;0.09235099;0.2629696;-0.2725753;-0.5140325;0.7696235
0.1074917;1.731038;-0.03805502;0.03084501;0.1346948;-0.03000174;0.9899524,-0.04452633;1.037864;0.3769586;-0.092114;0.3526715;0.6460661;0.6706238,0.3637604;0.9233928;0.09111021;0.2757774;-0.287165;-0.4985918;0.7699931
0.10853;1.731134;-0.03799292;0.03147396;0.1340531;-0.03267906;0.989935,-0.03574489;1.05373;0.3802093;-0.1032496;0.3635903;0.6445098;0.6646417,0.3618207;0.9224451;0.08919958;0.2944978;-0.3069548;-0.4775053;0.7687903
0.1096826;1.731276;-0.03798256;0.031975;0.1335355;-0.03512539;0.9899051,-0.02748528;1.060957;0.3819823;-0.1110024;0.370817;0.6438358;0.6600369,0.360054;0.9216189;0.08742453;0.3115088;-0.3238048;-0.460535;0.7655197
0.110638;1.731354;-0.03816297;0.03222274;0.1331035;-0.03717397;0.9898804,-0.0183492;1.07957;0.3840255;-0.1232866;0.381855;0.6432726;0.652064,0.3590677;0.921188;0.08641168;0.3214843;-0.3332063;-0.4519787;0.7624545
