HEAD,HANDL,HANDR
-0.05594113;1.720107;0.02089836;0.2023105;-0.0389974;0.06283902;0.9765249,-0.2736364;0.9140965;0.2043609;0.0714764;0.2830471;0.6070276;0.7391164,0.1297857;1.092795;0.1689868;0.2613422;-0.3514248;-0.4583123;0.7734021
-0.05852494;1.719588;0.02273627;0.2043814;-0.04041768;0.06577108;0.9758427,-0.2759054;0.9140393;0.2062216;0.06231187;0.277358;0.6112421;0.738629,0.1289437;1.092754;0.1749356;0.2579321;-0.3555778;-0.4535933;0.7754281
-0.06096234;1.71904;0.0245347;0.2064463;-0.04172983;0.0686963;0.9751509,-0.2782609;0.9139866;0.2074605;0.05305904;0.2712334;0.6156876;0.7379336,0.1278576;1.092686;0.1813989;0.2542094;-0.3599066;-0.4481882;0.7777995
-0.06339246;1.718477;0.02630012;0.2085611;-0.04297375;0.07167478;0.9744323,-0.2805911;0.9139431;0.2080905;0.04402019;0.2653302;0.620029;0.7370389,0.1266471;1.092536;0.1885135;0.2502628;-0.3638285;-0.4425536;0.7804766
-0.06583688;1.717847;0.02796189;0.2109853;-0.04404647;0.07461841;0.9736412,-0.2834081;0.9134677;0.2062291;0.03807898;0.2616743;0.6228027;0.7363377,0.1258812;1.092427;0.1933034;0.2474674;-0.3661922;-0.438843;0.7823554
-0.06836314;1.717311;0.02972493;0.2136345;-0.04498118;0.07767294;0.9727815,-0.2920971;0.9102872;0.1942673;0.0293617;0.2569932;0.6265343;0.7352191,0.1250889;1.092331;0.1980811;0.2445398;-0.368429;-0.435263;0.7842235
-0.07089597;1.716827;0.03154641;0.2163289;-0.04585459;0.08077753;0.9718921,-0.2089412;0.9371545;0.2027195;0.02074401;0.2538507;0.629495;0.7340746,0.1237966;1.092221;0.2052141;0.239904;-0.3718175;-0.4303278;0.7867756
-0.07349199;1.7162;0.03344104;0.218783;-0.04674404;0.08403954;0.9710234,-0.1857996;0.9474134;0.2021112;0.01500027;0.2528297;0.6309702;0.7332999,0.1213862;1.092354;0.2153068;0.2337748;-0.3765717;-0.4250995;0.789198
-0.07611328;1.715433;0.03541937;0.2210513;-0.0476466;0.0872499;0.9701822,-0.1843678;0.9487692;0.201667;0.003518432;0.2527451;0.6328582;0.7318457,0.1194972;1.093155;0.2212873;0.2307849;-0.3791004;-0.4230501;0.7899683
-0.07876933;1.714624;0.03737303;0.2230853;-0.04842892;0.09049211;0.9693806,-0.1845311;0.9487542;0.2012022;-0.002273679;0.2535231;0.6334084;0.7311051,0.1163087;1.095473;0.2298397;0.2262076;-0.3832897;-0.4203574;0.7907078
