HEAD,HANDL,HANDR
-0.06325126;1.725208;-0.0675402;-0.01089238;-0.07259761;0.03030726;0.9968413,-0.2239034;0.9323615;0.1369613;0.2426518;0.3206707;0.5444806;0.7360919,0.1161858;0.9326555;0.1991763;0.3164434;-0.3837919;-0.5190891;0.6950639
-0.0637363;1.725192;-0.06716577;-0.01075021;-0.07295652;0.03043415;0.9968127,-0.2239783;0.9323753;0.1372725;0.2422415;0.3203572;0.5449231;0.7360362,0.1164292;0.9326586;0.2000284;0.3162698;-0.3836433;-0.5189734;0.6953112
-0.06437615;1.725145;-0.06667572;-0.01061868;-0.0733552;0.03056166;0.9967809,-0.2242099;0.9323958;0.1378774;0.2413391;0.31985;0.5456032;0.7360494,0.1165298;0.9326589;0.2005697;0.316174;-0.3835757;-0.5188977;0.6954488
-0.06508447;1.72508;-0.06624153;-0.0105187;-0.07387371;0.03068296;0.99674,-0.2247304;0.9324231;0.1387335;0.2398583;0.3192389;0.5464358;0.736181,0.1160336;0.9326569;0.2016604;0.3160545;-0.38353;-0.5187647;0.6956275
-0.0656364;1.725062;-0.06592438;-0.01038851;-0.07434098;0.03072029;0.9967055,-0.2253512;0.9324694;0.1397603;0.2375126;0.3185361;0.5476435;0.7363485,0.1157376;0.932656;0.2021433;0.3160247;-0.3835438;-0.5187088;0.695675
-0.06619425;1.725045;-0.06554949;-0.01030463;-0.0748459;0.03091408;0.9966626,-0.2257814;0.9325185;0.1404183;0.2354594;0.318121;0.548681;0.736415,0.1154072;0.9326554;0.2027422;0.3159941;-0.3835866;-0.5186307;0.6957235
-0.06684151;1.724924;-0.0650152;-0.01040705;-0.07541004;0.0309224;0.9966187,-0.2260485;0.9326832;0.1418892;0.2317979;0.3175767;0.5505909;0.7363861,0.1150989;0.932655;0.2033831;0.3159635;-0.3836603;-0.5185374;0.6957664
-0.067446;1.72474;-0.06465086;-0.01072698;-0.0759536;0.03090215;0.9965746,-0.2261034;0.9328591;0.1437824;0.2275467;0.316863;0.5529443;0.7362561,0.114786;0.9326538;0.2041183;0.3159384;-0.3837521;-0.5184463;0.695795
-0.06801429;1.724534;-0.06439342;-0.01112464;-0.07652766;0.03083175;0.9965286,-0.2260549;0.9330137;0.1451558;0.2229539;0.3156236;0.5556451;0.7361602,0.1143522;0.9326511;0.2051401;0.3158715;-0.3840012;-0.5182129;0.6958618
-0.06862964;1.724294;-0.06415462;-0.01156819;-0.07706847;0.03068125;0.9964865,-0.2263246;0.933179;0.145836;0.2183798;0.3137638;0.5586756;0.7360327,0.1138859;0.9326461;0.2061954;0.3157309;-0.3845657;-0.5177546;0.695955
-0.06933868;1.724066;-0.06396292;-0.01207199;-0.0775381;0.03048718;0.9964501,-0.2268903;0.9332978;0.1462905;0.2138982;0.311498;0.561994;0.7357848,0.1131567;0.9326384;0.2077896;0.3153921;-0.3859862;-0.5167885;0.6960404
-0.07000048;1.723835;-0.06380197;-0.01267568;-0.077933;0.03017704;0.9964212,-0.2272958;0.9333347;0.1465567;0.21086;0.3100972;0.564097;0.7356441,0.1125117;0.9326456;0.2090405;0.3149681;-0.3878843;-0.5156315;0.6960353
-0.07080379;1.72372;-0.06356462;-0.01351338;-0.07819953;0.02992496;0.9963969,-0.227797;0.933409;0.1468998;0.2053276;0.3086998;0.5666158;0.735861,0.1113714;0.9327712;0.2112488;0.31407;-0.392321;-0.5131192;0.695811
-0.07162251;1.723637;-0.0633399;-0.01453314;-0.07827117;0.02979438;0.9963808,-0.2280959;0.9335504;0.149017;0.1976567;0.3089719;0.5678233;0.7369158,0.1095849;0.9330521;0.2144481;0.3130226;-0.3980284;-0.5099646;0.6953607
-0.07264718;1.723522;-0.06298932;-0.01562587;-0.07830276;0.02961615;0.9963672,-0.2276987;0.9342028;0.1534572;0.1910784;0.3101508;0.5678692;0.7381192,0.1073294;0.9335777;0.2181914;0.3121013;-0.4038993;-0.5065479;0.6948866
-0.07374841;1.723439;-0.06261979;-0.01689193;-0.07827006;0.02963684;0.9963484,-0.2281825;0.9367496;0.1654807;0.1756594;0.3129733;0.5669228;0.7414783,0.1048532;0.9346316;0.2223465;0.3113358;-0.408976;-0.5032846;0.6946318
-0.07476397;1.723273;-0.06233957;-0.01811415;-0.07814059;0.02965708;0.9963365,-0.2294935;0.9399052;0.1744412;0.1628463;0.3132731;0.5669035;0.7442858,0.1021914;0.9361092;0.2273667;0.3103421;-0.4133782;-0.5003316;0.6946038
-0.07567316;1.723148;-0.06205031;-0.01902175;-0.07813295;0.02971957;0.9963183,-0.2302521;0.9419637;0.1798558;0.1538993;0.3120991;0.5678563;0.7459547,0.1005825;0.9371096;0.2305724;0.3092895;-0.4161744;-0.498527;0.6947012
-0.07704986;1.722892;-0.06139842;-0.01992201;-0.07802902;0.02986781;0.9963045,-0.2316191;0.9432099;0.1822529;0.1407294;0.3085806;0.5706683;0.7478708,0.09913595;0.9381656;0.233612;0.3077605;-0.4188148;-0.4970354;0.6948622
-0.07836003;1.722695;-0.06084765;-0.02061441;-0.07793918;0.03000239;0.9962933,-0.232811;0.9439833;0.1841231;0.1315462;0.3055027;0.5731571;0.7489023,0.09568554;0.9406213;0.2411609;0.3029824;-0.4240263;-0.4949851;0.6952648
-0.07956423;1.722615;-0.06048165;-0.02094383;-0.0777296;0.0301331;0.9962989,-0.2346627;0.9450366;0.1866476;0.116992;0.3005426;0.5771402;0.7502642,0.09361956;0.9418681;0.245005;0.2999341;-0.4264047;-0.4944009;0.6955475
-0.08079999;1.722603;-0.06015362;-0.02115398;-0.07747769;0.03031458;0.9963086,-0.2365056;0.9464191;0.1897531;0.1012492;0.2959756;0.5808554;0.7515012,0.09061124;0.9438012;0.250037;0.2946681;-0.4296476;-0.4938233;0.6962127
-0.08216515;1.72268;-0.05980495;-0.02131373;-0.07728262;0.03054051;0.9963135,-0.2376571;0.9478304;0.1926292;0.09026012;0.2932662;0.5828966;0.7523826,0.08804823;0.9455835;0.2548552;0.2907702;-0.4315962;-0.4935519;0.6968386
-0.08379278;1.722694;-0.05944854;-0.021511;-0.07693668;0.03104784;0.9963203,-0.2397822;0.9501205;0.1969328;0.07352391;0.2897322;0.584886;0.7540277,0.08295568;0.949398;0.2646869;0.2823933;-0.4348891;-0.4932707;0.6984338
-0.0851064;1.722634;-0.05904252;-0.02175757;-0.07688352;0.03152633;0.996304,-0.2431996;0.9531725;0.2020918;0.05062543;0.2862234;0.5854815;0.7567858,0.08049169;0.9513193;0.2694297;0.2779095;-0.4363832;-0.4933608;0.6992363
-0.08631851;1.722483;-0.05855976;-0.02203977;-0.0769384;0.03214137;0.9962739,-0.2448816;0.9544928;0.2042917;0.03900237;0.2850051;0.5849288;0.7583596,0.07936984;0.9521862;0.2714572;0.2755888;-0.437138;-0.4934542;0.6996173
-0.08745832;1.722327;-0.05799569;-0.02213751;-0.07718448;0.03279355;0.9962314,-0.2482387;0.9576081;0.2105069;0.02128348;0.2837374;0.5835409;0.7606051,0.07936735;0.9521881;0.2714619;0.2755819;-0.4371409;-0.4934537;0.6996185
-0.08877018;1.722245;-0.05747874;-0.02202572;-0.07747968;0.03339946;0.9961909,-0.2529972;0.9631762;0.2248473;0.003318265;0.2831975;0.5819059;0.7623475,0.07934482;0.952206;0.2715052;0.2755196;-0.4371679;-0.4934494;0.6996292
-0.09014504;1.722249;-0.05696757;-0.02152867;-0.07796697;0.03400842;0.9961431,-0.2580651;0.9679904;0.236928;-0.01558064;0.2833263;0.5800821;0.7635367,0.0793758;0.9521815;0.2714457;0.2756052;-0.4371308;-0.4934553;0.6996144
-0.09159616;1.722301;-0.05658832;-0.02083935;-0.07848094;0.0345574;0.9960985,-0.2621779;0.9703875;0.2455721;-0.02847442;0.2837372;0.5787061;0.764056,0.06125556;0.9716734;0.3136919;0.2298048;-0.4528677;-0.4925931;0.7067197
-0.09314596;1.722468;-0.05616799;-0.01972901;-0.07916716;0.03503882;0.99605,-0.2671333;0.9762822;0.2534167;-0.0495131;0.2849691;0.5766337;0.7640908,0.05972743;0.9735551;0.3175159;0.2254744;-0.4541607;-0.4924514;0.7073833
-0.09455433;1.722817;-0.05569779;-0.01818357;-0.07987073;0.03550312;0.9960068,-0.2683839;1.012878;0.2517096;-0.06995367;0.2861167;0.5738664;0.7641473,0.05340949;0.982338;0.3331999;0.2034483;-0.4590477;-0.492519;0.710851
-0.09596339;1.723161;-0.05515882;-0.01667633;-0.08060321;0.03602868;0.9959553,-0.2714259;1.047376;0.2492221;-0.08967524;0.2872374;0.5706557;0.7640714,0.05123379;0.9847916;0.3371034;0.1898011;-0.4611347;-0.4929233;0.7129917
-0.09737191;1.72362;-0.05460005;-0.01505653;-0.08131483;0.03643316;0.9959086,-0.2816794;1.068362;0.2492346;-0.1079056;0.2878844;0.5669531;0.7642272,0.04897024;0.9871074;0.341165;0.1760826;-0.4628489;-0.4934766;0.7150152
-0.09905939;1.723997;-0.05400322;-0.013607;-0.08189001;0.03658989;0.9958766,-0.2930734;1.086511;0.2520282;-0.1250184;0.2884727;0.5629582;0.7643506,0.04665601;0.9903284;0.3472313;0.1669177;-0.4638864;-0.4938894;0.7162549
-0.1006646;1.72428;-0.05346764;-0.01221772;-0.08225916;0.03640799;0.9958708,-0.3019794;1.092944;0.2553141;-0.1357278;0.288901;0.5601985;0.7643898,0.04238153;0.997539;0.3590998;0.1532853;-0.4654574;-0.49446;0.7178874
-0.1021273;1.72458;-0.05297451;-0.01075114;-0.08269483;0.03612351;0.995862,-0.3143331;1.103663;0.2596182;-0.1495327;0.2900921;0.556295;0.7642136,0.03858305;1.004587;0.3697502;0.1401629;-0.4672302;-0.4946587;0.7192796
-0.1035592;1.724964;-0.05259939;-0.009078312;-0.08303343;0.03590828;0.9958583,-0.3223925;1.107173;0.2629153;-0.1574755;0.2915513;0.5538301;0.7638531,0.03662245;1.008872;0.3752527;0.1281353;-0.4693285;-0.4941765;0.7204872
-0.1049006;1.725211;-0.05245716;-0.007314593;-0.08336564;0.03579643;0.9958491,-0.3342931;1.109398;0.2680149;-0.1675146;0.2949524;0.5501088;0.7631005,0.03560905;1.009807;0.3765579;0.1201288;-0.4710705;-0.4933576;0.7212905
-0.1063167;1.725121;-0.05232071;-0.006034502;-0.08363376;0.03598692;0.9958283,-0.3451731;1.11284;0.2727992;-0.1759187;0.2999668;0.5457475;0.7623858,0.03344189;1.010888;0.3780753;0.1095434;-0.4741049;-0.4914225;0.7223079
-0.1077484;1.724833;-0.05209514;-0.005578994;-0.08388399;0.036251;0.9958003,-0.3520542;1.115529;0.2757788;-0.1809895;0.3043442;0.5421821;0.7620078,0.03099224;1.012805;0.3809365;0.09957945;-0.4781604;-0.4886166;0.7229803
-0.1093082;1.724614;-0.05184491;-0.005388196;-0.08408957;0.03665339;0.9957693,-0.3888113;1.111611;0.2773644;-0.1887179;0.3125514;0.5352312;0.7617248,0.02892532;1.014147;0.3832414;0.09059876;-0.4834332;-0.4849687;0.7231111
-0.1110317;1.724298;-0.05163437;-0.006079167;-0.08425068;0.03717495;0.9957324,-0.403318;1.10032;0.2875295;-0.1973381;0.3220785;0.5265104;0.7616494,0.0272783;1.014289;0.3848279;0.08141425;-0.4901358;-0.4803716;0.7227598
-0.1125623;1.723942;-0.05138201;-0.00697697;-0.08448052;0.03762975;0.9956899,-0.4082661;1.108696;0.2921728;-0.2063359;0.3311785;0.5171691;0.7617627,0.02627451;1.01425;0.3856187;0.07526766;-0.4950897;-0.4769391;0.7223227
-0.1140848;1.723499;-0.05114055;-0.008245554;-0.08458494;0.03791577;0.9956605,-0.4135451;1.115975;0.2977008;-0.2154347;0.3385389;0.5086153;0.7617676,0.02505152;1.014275;0.3871456;0.06566624;-0.502699;-0.471554;0.721539
-0.1156559;1.723085;-0.0508465;-0.00917274;-0.08470844;0.03814613;0.9956331,-0.4191806;1.12378;0.3033254;-0.2247463;0.3440768;0.5018602;0.761076,0.02244842;1.015757;0.3933662;0.05529404;-0.5100396;-0.4659696;0.7208846
-0.1172747;1.7226;-0.05056399;-0.01022392;-0.08470572;0.03840585;0.9956131,-0.4248308;1.131869;0.308871;-0.2344798;0.3480596;0.4970491;0.759484,0.02115211;1.024367;0.3992229;0.04482605;-0.5165952;-0.4609858;0.7201473
-0.1187658;1.722231;-0.05033686;-0.01095986;-0.08471775;0.03874518;0.9955911,-0.4285947;1.137497;0.3124512;-0.2415398;0.3503329;0.4944542;0.7579185,0.02066275;1.03277;0.4057233;0.03766557;-0.5206748;-0.458079;0.719474
-0.1202549;1.721843;-0.05015048;-0.01154557;-0.08466002;0.03904368;0.9955778,-0.4343951;1.146124;0.3176042;-0.2528276;0.3536914;0.491089;0.7548591,0.01998986;1.04078;0.4112197;0.02644034;-0.5265;-0.4543027;0.718128
-0.1219525;1.721503;-0.05006115;-0.01194284;-0.08455533;0.03925112;0.9955738,-0.4399757;1.155009;0.3225778;-0.2642957;0.3574033;0.4877393;0.7513462,0.0191212;1.042194;0.4119342;0.01455533;-0.5320545;-0.4511358;0.7163677
-0.1235819;1.721252;-0.0499047;-0.01214927;-0.08437633;0.03937212;0.9955817,-0.4454525;1.164343;0.3273584;-0.2757247;0.3618919;0.4835434;0.747794,0.01860578;1.043565;0.4128559;0.006595343;-0.5355494;-0.4493875;0.7149785
-0.1251583;1.720952;-0.04968444;-0.0123349;-0.08410971;0.03953074;0.9955957,-0.4514502;1.172359;0.3320268;-0.2862082;0.3668424;0.4785509;0.7446479,0.0175174;1.047561;0.4134427;-0.01006345;-0.5431299;-0.4461268;0.7112521
-0.1267432;1.720664;-0.04943579;-0.01257293;-0.08386572;0.03973005;0.9956053,-0.4552871;1.178552;0.3350662;-0.2929434;0.3704527;0.4746027;0.7427659,0.0166435;1.048995;0.4135656;-0.01400149;-0.5449725;-0.4453087;0.710288
-0.1283738;1.720443;-0.04917879;-0.01259569;-0.08367521;0.03994371;0.9956126,-0.4606269;1.187874;0.3394844;-0.3022653;0.3759713;0.4680737;0.7403973,0.01006032;1.062303;0.4182789;-0.02960666;-0.5529947;-0.4410149;0.7062764
-0.1299793;1.720219;-0.04882267;-0.01273041;-0.0834264;0.04031523;0.9956167,-0.4657847;1.197149;0.3436173;-0.3113542;0.3816603;0.4609113;0.7382104,0.007402874;1.067013;0.4180818;-0.04127816;-0.5601777;-0.435969;0.7031559
-0.1315351;1.719976;-0.04837784;-0.01275114;-0.08327334;0.04058876;0.9956182,-0.4707746;1.206818;0.3476754;-0.3201636;0.3872501;0.4536814;0.7360067,0.005659756;1.070674;0.4193282;-0.05302368;-0.5681722;-0.429658;0.6998305
-0.132989;1.719887;-0.04795869;-0.01242899;-0.08307147;0.04075887;0.9956322,-0.4739856;1.213207;0.3502326;-0.3259228;0.3909611;0.4489211;0.7344342,0.003353902;1.076744;0.4211729;-0.06085365;-0.5736786;-0.4251302;0.6974626
-0.134632;1.719942;-0.04759556;-0.01169663;-0.08290068;0.04103596;0.9956439,-0.4787566;1.22293;0.3539095;-0.3346674;0.3966489;0.4417039;0.731823,-0.0005019661;1.088349;0.4227615;-0.07261518;-0.5819938;-0.4181769;0.6936414
-0.1362885;1.720084;-0.0471455;-0.01074659;-0.08262856;0.04112339;0.9956736,-0.4829402;1.232838;0.3570236;-0.3434055;0.4022874;0.4344641;0.7290256,-0.004718859;1.1015;0.4233115;-0.08390874;-0.5898036;-0.4116345;0.6896725
-0.1394746;1.72017;-0.04610267;-0.00928544;-0.08188868;0.04078417;0.9957634,-0.4913402;1.2518;0.3631519;-0.3601757;0.4130507;0.4205954;0.7230229,-0.01031667;1.121719;0.4241873;-0.1049857;-0.603053;-0.4012355;0.6814068
-0.1412433;1.720197;-0.04575112;-0.008733415;-0.08148134;0.04057648;0.9958103,-0.4941774;1.258043;0.3652039;-0.3653724;0.4165091;0.4161763;0.7209857,-0.01220346;1.129306;0.4241439;-0.111089;-0.6065882;-0.3986686;0.6788029
-0.142854;1.720138;-0.04532402;-0.008476323;-0.08113738;0.04048941;0.9958441,-0.4976985;1.267239;0.3678871;-0.3725054;0.4212784;0.4099336;0.7181356,-0.01363303;1.137773;0.425019;-0.1193629;-0.6112617;-0.3951606;0.6752479
-0.1443336;1.71999;-0.04479;-0.008409466;-0.08081864;0.04038609;0.9958748,-0.5013505;1.276394;0.3707204;-0.3794355;0.4257393;0.4036978;0.715404,-0.01638027;1.150557;0.4253195;-0.1267962;-0.6155263;-0.3912627;0.6722825
