HEAD,HANDL,HANDR
-0.06111176;1.727007;-0.0245142;0.01321068;-0.1029108;0.01532781;0.9944848,-0.2627302;0.9337855;0.1261202;0.2796247;0.4223738;0.4924043;0.707777,0.0963785;0.9424078;0.2334761;0.2868861;-0.4441199;-0.4739575;0.7041436
-0.06142854;1.727388;-0.02660015;0.01560974;-0.1028264;0.01521764;0.9944604,-0.2637961;0.9337661;0.1242672;0.2779894;0.4181197;0.4942788;0.7096381,0.09545089;0.9423381;0.2320902;0.2863672;-0.443757;-0.4747207;0.7040695
-0.06169657;1.727581;-0.02880113;0.01745094;-0.1028234;0.01507393;0.9944323,-0.2647653;0.9337339;0.1218678;0.2761198;0.4132994;0.4958797;0.7120708,0.0946816;0.9423336;0.2303342;0.2860449;-0.4433936;-0.47553;0.7038833
-0.06198385;1.727695;-0.03076051;0.01861023;-0.102851;0.01452187;0.9944167,-0.265667;0.9337003;0.1193779;0.2737822;0.4080042;0.4975311;0.7148697,0.09247404;0.9423193;0.2249063;0.2857781;-0.4427972;-0.4777882;0.7028372
-0.06229271;1.727667;-0.03261127;0.01881875;-0.1027933;0.01376046;0.9944295,-0.2665968;0.9337457;0.1171284;0.2710746;0.4029578;0.4995981;0.7173182,0.09029626;0.9422567;0.2207699;0.286004;-0.4428401;-0.4795437;0.7015215
-0.06271687;1.72758;-0.03460887;0.01893669;-0.1026442;0.01295143;0.9944535,-0.2671815;0.9337718;0.1156312;0.2691301;0.3999232;0.5011985;0.718631,0.08950407;0.9422056;0.2194412;0.2861214;-0.4429452;-0.4800139;0.7010854
-0.06318022;1.727402;-0.0366471;0.01825554;-0.1023428;0.01219844;0.9945069,-0.2680618;0.9337931;0.113321;0.2662961;0.3963651;0.5035189;0.7200345,0.08659674;0.9419938;0.2147608;0.2863783;-0.443307;-0.4815641;0.6996875
-0.06360887;1.727332;-0.03859974;0.01774167;-0.1019189;0.01159774;0.9945669,-0.268643;0.9338022;0.1117546;0.2645939;0.3946601;0.5048895;0.7206386,0.08468044;0.9418347;0.2116822;0.2860918;-0.4432338;-0.4825246;0.6991891
-0.06405918;1.727248;-0.04057357;0.01714888;-0.1013381;0.01107514;0.9946426,-0.2694946;0.9338372;0.1088143;0.2622089;0.3924111;0.5070391;0.721229,0.08417265;0.9417869;0.2108036;0.2858931;-0.4431294;-0.4827456;0.699184
-0.06454979;1.727226;-0.04280312;0.01672317;-0.100756;0.01071217;0.9947129,-0.2700212;0.9338614;0.1066353;0.2616574;0.3915492;0.5079734;0.7212403,0.08293407;0.9416116;0.2076274;0.2829436;-0.4412069;-0.4840934;0.7006661
-0.06498542;1.727251;-0.04483578;0.01629372;-0.1001675;0.01063222;0.9947804,-0.2703963;0.9338694;0.1049527;0.2616663;0.3911758;0.5083296;0.7211888,0.08270074;0.9415585;0.2064267;0.2799147;-0.4390405;-0.4849783;0.702629
-0.06534802;1.727314;-0.04676517;0.01582697;-0.09968288;0.01067229;0.9948362,-0.2708637;0.9338651;0.1021416;0.2620109;0.3908052;0.508603;0.7210718,0.08250821;0.9415043;0.2047949;0.2748917;-0.4351847;-0.4863727;0.7060387
-0.06601086;1.727221;-0.05049348;0.01411442;-0.09907053;0.01111982;0.9949182,-0.2720897;0.9337248;0.09632912;0.2629461;0.3903086;0.5088099;0.7208543,0.08222591;0.9414734;0.2021668;0.267821;-0.4296709;-0.4889677;0.7103278
-0.06665684;1.727181;-0.05249007;0.01306047;-0.0988042;0.01144758;0.9949554,-0.2729852;0.9335687;0.09264304;0.2637773;0.3899801;0.5088841;0.7206762,0.08191759;0.9414985;0.2004993;0.2645958;-0.4272017;-0.4907347;0.7118056
-0.06702951;1.727202;-0.05431385;0.01215955;-0.09860345;0.01170826;0.9949837,-0.2742796;0.9333657;0.08884664;0.2648974;0.3896282;0.508896;0.7204472,0.08115283;0.9415417;0.1984196;0.2622798;-0.4253446;-0.492321;0.712679
-0.06727211;1.727206;-0.05592004;0.01136522;-0.0983544;0.01187178;0.9950157,-0.2749984;0.9332185;0.08657731;0.2656961;0.3894371;0.5088527;0.7202869,0.08084443;0.9415743;0.1971944;0.2611571;-0.4243598;-0.493194;0.7130747
-0.06787564;1.72723;-0.05783607;0.01063174;-0.0980275;0.01186645;0.9950562,-0.2761028;0.932912;0.08259653;0.2668233;0.3892029;0.5087271;0.7200856,0.08046331;0.941633;0.1948589;0.259412;-0.4227948;-0.4945791;0.7136816
-0.06858514;1.72743;-0.05959849;0.01035394;-0.09766591;0.01172629;0.9950963,-0.2765206;0.9327853;0.08108421;0.2670454;0.3891745;0.5086578;0.7200675,0.08019227;0.9416536;0.1936446;0.2585743;-0.422258;-0.4951055;0.7139384
-0.06898566;1.727803;-0.06119683;0.01040429;-0.09727165;0.01147301;0.9951373,-0.2778618;0.93265;0.07918739;0.2671214;0.3890892;0.5086362;0.7201007,0.07912667;0.9416828;0.1913844;0.2567818;-0.4216386;-0.4958887;0.7144079
-0.06917214;1.727936;-0.06249674;0.01009902;-0.09693023;0.01109743;0.9951781,-0.2781525;0.9325577;0.0778386;0.266993;0.3887935;0.5087421;0.7202332,0.07884292;0.9417187;0.190335;0.2549808;-0.4213176;-0.4965169;0.7148057
-0.06942903;1.727934;-0.06401972;0.009510426;-0.09660613;0.01067839;0.99522,-0.2783322;0.9324894;0.0765539;0.2652962;0.3854358;0.5102319;0.7216098,0.07792543;0.9419181;0.189337;0.250003;-0.4205275;-0.4980198;0.7159829
-0.06969865;1.727878;-0.06566374;0.009146987;-0.09636395;0.01006737;0.9952532,-0.2786277;0.9325228;0.07519993;0.2620474;0.3780102;0.5136355;0.7243053,0.07712575;0.9421174;0.1889173;0.2454808;-0.4197828;-0.4989208;0.7173561
-0.06989577;1.727951;-0.0670173;0.00909626;-0.09620298;0.009586392;0.995274,-0.2790236;0.9325916;0.07414569;0.2600188;0.3723732;0.5163241;0.7260426,0.07664681;0.9423332;0.1889071;0.2423415;-0.4198813;-0.498887;0.7183884
-0.07002495;1.728138;-0.06826237;0.009471841;-0.09630087;0.009323079;0.9952636,-0.279558;0.9327003;0.07279463;0.2569956;0.363498;0.5209111;0.7283366,0.07654817;0.9424748;0.1891505;0.2406735;-0.4202784;-0.4986328;0.7188934
-0.07012894;1.728378;-0.0693698;0.009868273;-0.09655347;0.009286288;0.9952356,-0.2799856;0.9327673;0.07187042;0.2545471;0.3580488;0.5241375;0.7295798,0.07587899;0.9435163;0.1914607;0.2337751;-0.424979;-0.4955314;0.720549
-0.07023402;1.728694;-0.07073066;0.01029686;-0.09703761;0.009560784;0.9951815,-0.2808075;0.9329365;0.07006696;0.2471975;0.3508237;0.5303431;0.7311308,0.0731613;0.9469126;0.1987642;0.227256;-0.4329417;-0.4898234;0.721796
-0.07032602;1.729048;-0.07201036;0.0107116;-0.09775259;0.00980597;0.9951048,-0.2813387;0.9331392;0.06860445;0.2384911;0.3485834;0.5347587;0.7318774,0.07137705;0.9489431;0.2030135;0.2236263;-0.4373901;-0.48652;0.7224815
-0.07045375;1.729349;-0.07319306;0.01103891;-0.09835378;0.009721837;0.9950428,-0.2813863;0.9333369;0.06810147;0.231319;0.3482118;0.5372539;0.7325287,0.06902792;0.9522648;0.2096068;0.2172263;-0.4438726;-0.4809842;0.7241852
-0.07066445;1.729536;-0.07438233;0.01109319;-0.09883069;0.009339347;0.9949986,-0.2811686;0.9337609;0.06870298;0.218508;0.3479394;0.5404617;0.73423,0.06834733;0.9537229;0.2115142;0.2097385;-0.4497617;-0.4746685;0.7269209
-0.07126359;1.729621;-0.07598791;0.0108154;-0.09908271;0.008747626;0.994982,-0.2804136;0.9343181;0.07046499;0.2038641;0.346554;0.5434872;0.7368591,0.0674777;0.9549999;0.2133091;0.2018019;-0.4546898;-0.4686549;0.7299971
-0.07177402;1.729564;-0.07724172;0.01039036;-0.09923644;0.007949847;0.9949779,-0.2792968;0.9348159;0.07165063;0.1932254;0.3444849;0.5458349;0.7389577,0.06702831;0.9567444;0.216435;0.196354;-0.4576067;-0.4654566;0.7317044
-0.07215749;1.729499;-0.07822901;0.01004538;-0.09933553;0.007431976;0.9949755,-0.2791346;0.9357319;0.07328713;0.1764979;0.3398434;0.5498334;0.7423194,0.06600211;0.9603211;0.2242249;0.1875006;-0.4620416;-0.4622927;0.7332438
-0.07253397;1.729314;-0.07912822;0.009461929;-0.09943072;0.00703132;0.9949747,-0.2797064;0.9369546;0.07425106;0.1584538;0.3341288;0.5539402;0.7459227,0.06605935;0.9602953;0.2241739;0.1876554;-0.4619519;-0.4623808;0.7332053
-0.07311086;1.729169;-0.08026854;0.008985468;-0.09936769;0.006699977;0.9949877,-0.2800972;0.9379376;0.07539599;0.1459714;0.3302366;0.5564749;0.7483127,0.058469;0.9708313;0.2465889;0.1627752;-0.4724134;-0.4610095;0.7333485
-0.07376803;1.729012;-0.08122836;0.008684871;-0.09910128;0.006469116;0.9950185,-0.2809998;0.9402902;0.07878572;0.1196769;0.3233474;0.5611256;0.7525038,0.05338022;0.9773606;0.2592757;0.1472612;-0.4773648;-0.4616118;0.7330427
