HEAD,HANDL,HANDR
-0.04011033;1.724806;-0.08473912;0.004887002;-0.05400676;0.01981349;0.998332,-0.3182063;0.8153785;0.07990116;0.1737366;0.3279798;0.5113053;0.7751206,0.1293424;0.8481435;0.2057531;0.2195644;-0.3559495;-0.6030001;0.6793249
-0.04018808;1.724749;-0.08440408;0.004886311;-0.05417142;0.01980031;0.9983234,-0.3182376;0.8153309;0.08011516;0.1735395;0.327892;0.5115116;0.7750657,0.1292313;0.8481251;0.206043;0.2195669;-0.3559529;-0.6029992;0.6793231
-0.04023429;1.724735;-0.08425084;0.004956277;-0.05423687;0.01983096;0.9983189,-0.3182586;0.8153042;0.08025603;0.1734108;0.3278339;0.5116374;0.7750359,0.1291597;0.8481138;0.2062286;0.2195701;-0.3559558;-0.6029952;0.6793242
-0.04025745;1.724744;-0.08390833;0.005085369;-0.05449886;0.0199056;0.9983025,-0.3183;0.8152627;0.0805077;0.1731888;0.3277354;0.5118395;0.7749938,0.1290643;0.848098;0.2064753;0.2195917;-0.3559777;-0.6029769;0.679322
-0.04027673;1.724701;-0.08372565;0.005023462;-0.05460857;0.01991741;0.9982966,-0.3183256;0.8152393;0.08067343;0.1730557;0.3276808;0.5119524;0.7749722,0.1289621;0.8480815;0.2067333;0.219636;-0.3560184;-0.6029382;0.6793206
-0.04035999;1.724654;-0.08353959;0.004971064;-0.05459344;0.0199363;0.9982973,-0.3183517;0.8152179;0.0808579;0.172931;0.3276292;0.5120536;0.7749549,0.1288867;0.8480688;0.2069208;0.2196836;-0.356061;-0.6028975;0.679319
-0.0403802;1.724616;-0.08334149;0.004937125;-0.05471118;0.01998478;0.99829,-0.3183704;0.8152038;0.08098656;0.1728512;0.3275958;0.5121177;0.7749444,0.1288127;0.8480557;0.2071046;0.2197367;-0.3561084;-0.6028502;0.679319
-0.04044197;1.724553;-0.08314572;0.004858008;-0.05473296;0.01996756;0.9982895,-0.3184091;0.8151761;0.08124562;0.1727054;0.3275328;0.5122399;0.7749228,0.1287374;0.8480419;0.2072959;0.2197916;-0.3561566;-0.6028006;0.67932
-0.0404942;1.724506;-0.08294085;0.00480513;-0.05477989;0.02004316;0.9982857,-0.3184262;0.8151615;0.08137045;0.1726401;0.3275031;0.512297;0.7749122,0.1286865;0.8480324;0.2074273;0.219828;-0.3561877;-0.6027675;0.6793212
-0.04053601;1.724444;-0.08273204;0.004738543;-0.05485403;0.02013508;0.9982801,-0.3184451;0.8151381;0.08154473;0.1725505;0.3274583;0.5123785;0.7748972,0.1286122;0.8480173;0.2076231;0.2198792;-0.3562284;-0.6027196;0.6793259
-0.0405863;1.724388;-0.08249395;0.004718009;-0.05494795;0.02021629;0.9982734,-0.3184557;0.8151115;0.08170094;0.1724669;0.3274125;0.5124598;0.7748815,0.1285439;0.8480009;0.2078124;0.2199278;-0.356267;-0.6026753;0.6793292
-0.04064495;1.724333;-0.08216217;0.004743933;-0.05512344;0.02026898;0.9982625,-0.31846;0.8150811;0.08184045;0.1723881;0.3273621;0.5125422;0.7748657,0.1284805;0.8479833;0.2079963;0.2199705;-0.3562993;-0.6026322;0.6793366
-0.04070555;1.724296;-0.08185805;0.004833498;-0.05528977;0.02037026;0.9982508,-0.3184638;0.8150454;0.0819737;0.1723114;0.3273104;0.5126265;0.7748488,0.1284298;0.8479705;0.2081476;0.2199976;-0.3563305;-0.6025961;0.6793436
-0.04075805;1.724319;-0.08159477;0.005012824;-0.0554603;0.02038689;0.9982402,-0.3184658;0.8150183;0.08206698;0.1722624;0.3272791;0.512679;0.7748383,0.1282389;0.8479517;0.2087356;0.2200186;-0.356508;-0.6024592;0.679365
-0.0408052;1.724342;-0.08132374;0.005182053;-0.0556697;0.02048353;0.9982257,-0.3184662;0.8149756;0.08219919;0.1721975;0.3272442;0.5127358;0.7748299,0.1273823;0.8482113;0.2114204;0.2196559;-0.3579545;-0.6015595;0.6795191
-0.0409018;1.724308;-0.08079531;0.005322268;-0.05610398;0.02061061;0.998198,-0.3185158;0.8148997;0.0825133;0.1721018;0.3272052;0.5128163;0.7748143,0.1249719;0.8492916;0.2206785;0.2162627;-0.3674648;-0.5958202;0.6805869
-0.04097863;1.724281;-0.08049873;0.005388148;-0.05630653;0.02057882;0.9981869,-0.3185483;0.8148662;0.08267176;0.1720647;0.3271958;0.5128486;0.7748051,0.1247914;0.8507089;0.2256441;0.215034;-0.3709621;-0.5929886;0.6815513
-0.04103968;1.724261;-0.08020997;0.005509089;-0.05654558;0.02055258;0.9981733,-0.3185718;0.8148453;0.08277547;0.1720451;0.3271919;0.5128648;0.7748003,0.1250371;0.8515593;0.2283313;0.2143935;-0.3729699;-0.5910978;0.6822993
-0.04112133;1.724251;-0.07992907;0.005704749;-0.05678788;0.02046642;0.9981602,-0.3186116;0.8148151;0.08293592;0.1720208;0.3271885;0.5128826;0.7747955,0.1249353;0.8519546;0.2294623;0.212979;-0.3766209;-0.5878582;0.6835346
-0.0411954;1.724331;-0.07963428;0.006111409;-0.0570868;0.0204608;0.9981408,-0.3186117;0.8148041;0.08295764;0.1720061;0.3271876;0.5128926;0.7747924,0.1248376;0.8520586;0.2298148;0.2113684;-0.3796515;-0.5854262;0.6844446
-0.04128405;1.724467;-0.07931019;0.006646358;-0.05742664;0.02032608;0.9981207,-0.3186134;0.8147873;0.08299336;0.1719853;0.327187;0.5129057;0.7747887,0.1249084;0.8530991;0.2333572;0.2079062;-0.384161;-0.5821202;0.6858072
