HEAD,HANDL,HANDR
-0.1416341;1.726171;0.02514615;0.1992308;0.2065865;-0.002325216;0.9579268,-0.1348049;1.031829;0.285185;0.201708;0.3938886;0.6416951;0.6264128,0.06738646;0.9513162;0.07635669;0.0273383;-0.04360691;-0.6798987;0.7314977
-0.1421342;1.7261;0.02546291;0.2000725;0.2078609;-0.002228533;0.9574758,-0.135748;1.031803;0.2852153;0.1986198;0.3946904;0.643223;0.6253269,0.06697851;0.9513327;0.07655394;0.02164918;-0.03965228;-0.6805475;0.73131
-0.1425862;1.725953;0.02567005;0.200811;0.2090457;-0.002165605;0.9570633,-0.1371792;1.031775;0.2851515;0.1930342;0.3953795;0.6459392;0.6238391,0.06637429;0.9513867;0.07664198;0.0144577;-0.03549284;-0.6808794;0.7313922
-0.1429762;1.725782;0.02585953;0.2014494;0.2100696;-0.002071684;0.9567051,-0.1385141;1.031775;0.2851011;0.1874223;0.395103;0.6488287;0.6227261,0.06604341;0.9514254;0.07662713;0.01122665;-0.0338836;-0.680786;0.7316121
-0.1432902;1.725625;0.02611065;0.2020955;0.211097;-0.001974376;0.9563428,-0.1397853;1.031794;0.2851428;0.18192;0.3940119;0.6518153;0.6219296,0.06549756;0.9514915;0.07656284;0.00620392;-0.03172344;-0.6804129;0.7321158
-0.1432848;1.725495;0.02631298;0.2028104;0.2117632;-0.001663829;0.9560447,-0.1405785;1.031815;0.2851954;0.1784252;0.3929568;0.6537685;0.6215595,0.06514578;0.9515402;0.07643715;0.002550364;-0.03050448;-0.6801216;0.73246
-0.1431726;1.725416;0.02654836;0.2034084;0.2122428;-0.001327236;0.9558119,-0.141755;1.031827;0.2852217;0.1727734;0.3910885;0.6568849;0.6210486,0.06464612;0.9516205;0.07606911;-0.004148722;-0.0286198;-0.6796291;0.7329857
-0.1427735;1.725301;0.02699477;0.2042526;0.2129572;-0.0004723432;0.9554737,-0.1435947;1.031814;0.2851898;0.1631973;0.3884332;0.6619354;0.6199418,0.06393498;0.9518263;0.07526635;-0.01823276;-0.02436964;-0.6786748;0.733808
-0.1422328;1.725211;0.02726138;0.2045299;0.2132715;2.686701E-06;0.9553443,-0.1447186;1.031787;0.2850972;0.1556508;0.3872499;0.6655043;0.6188008,0.06378516;0.9519382;0.07480718;-0.02570245;-0.02186989;-0.6782104;0.7340925
-0.1416691;1.725087;0.02753606;0.2046303;0.2136825;0.000455333;0.9552309,-0.1451738;1.031766;0.2849898;0.1518167;0.3868551;0.6672122;0.6181607,0.06384893;0.9520458;0.07421152;-0.03315765;-0.01964905;-0.6779625;0.7340855
-0.1411292;1.725099;0.02774689;0.2047319;0.2139449;0.0008121689;0.9551501,-0.1457958;1.031746;0.2848077;0.1463824;0.3863406;0.6696359;0.6171716,0.06402391;0.9521526;0.07354692;-0.04002908;-0.01875691;-0.6776922;0.7340159
-0.1406414;1.725072;0.02793805;0.2047367;0.2142092;0.001036218;0.9550896,-0.1463383;1.031728;0.2846459;0.1411779;0.3858056;0.672079;0.6160622,0.06410659;0.952224;0.07306515;-0.04406366;-0.01917336;-0.6773587;0.7340817
-0.1399539;1.724944;0.02813483;0.2046948;0.2143355;0.001272891;0.95507,-0.1465381;1.031693;0.2845786;0.1359145;0.385424;0.6745429;0.6147906,0.06413136;0.952306;0.07261772;-0.0470145;-0.02058712;-0.6767919;0.7343832
-0.1391098;1.724768;0.02831456;0.2046359;0.2142449;0.001365792;0.9551029,-0.1464679;1.03167;0.2845689;0.1325089;0.3854489;0.6759428;0.6139804,0.06398337;0.9524302;0.07189521;-0.05068605;-0.02409399;-0.6752794;0.7354237
-0.1382399;1.72462;0.02846338;0.2045664;0.2139009;0.00137417;0.9551948,-0.146124;1.031609;0.2845279;0.1270081;0.3859755;0.6777713;0.6127952,0.06369217;0.9526039;0.07096885;-0.05494057;-0.02920575;-0.6730716;0.7369554
-0.1362189;1.724452;0.02877264;0.2044417;0.2128737;0.0009552181;0.9554514,-0.1454496;1.031422;0.2840346;0.1144484;0.3885082;0.6804013;0.6107514,0.06341976;0.952814;0.06997448;-0.06121673;-0.03281728;-0.6709256;0.7382644
-0.1347565;1.724294;0.02892135;0.2041371;0.2120657;0.0004606482;0.9556966,-0.1451482;1.031287;0.2836117;0.107243;0.39038;0.681434;0.6097131,0.1803277;0.9080383;0.116532;-0.0639603;-0.03362934;-0.6691856;0.7395735
-0.1333577;1.724167;0.0290535;0.2038592;0.2113302;-0.0001161193;0.9559189,-0.1449461;1.031201;0.2833262;0.1023976;0.3916112;0.6820928;0.6090197,0.1872999;0.9031494;0.1207664;-0.06849442;-0.03258587;-0.6669608;0.741222
-0.1318325;1.724054;0.02919291;0.20361;0.2105004;-0.0008514691;0.9561548,-0.1446572;1.031058;0.2829104;0.09472618;0.3930821;0.683414;0.6078312,0.1961883;0.8912314;0.1094848;-0.07144041;-0.0304633;-0.6652699;0.7425527
-0.1302225;1.723981;0.02936246;0.2035304;0.2096975;-0.001626512;0.9563471,-0.1443149;1.030925;0.2826374;0.08714929;0.3937408;0.6852915;0.6064228,0.1979157;0.8893039;0.1090955;-0.07325138;-0.02864495;-0.6644523;0.7431803
-0.1278425;1.723912;0.02966889;0.2035869;0.2086853;-0.00247521;0.9565546,-0.1440049;1.030759;0.2824815;0.07926939;0.3935426;0.6880708;0.6044825,0.1990188;0.8832623;0.1073695;-0.07655348;-0.02520663;-0.6629364;0.7443249
-0.125729;1.723908;0.0298959;0.2039191;0.2077308;-0.003455434;0.9566886,-0.1434754;1.030647;0.2826086;0.07426769;0.3929912;0.6903679;0.6028551,0.1998822;0.8800509;0.1068514;-0.08003777;-0.02174288;-0.6612418;0.7455741
-0.1237645;1.723922;0.03010889;0.2044959;0.206775;-0.004366184;0.9567688,-0.1426664;1.030427;0.2828453;0.06660119;0.3921652;0.6941973;0.599884,0.2016695;0.8771794;0.1070745;-0.08384982;-0.01850314;-0.6591245;0.7471156
-0.1215659;1.723682;0.03031877;0.2049215;0.205719;-0.005204863;0.9569011,-0.1422473;1.030156;0.2828803;0.05898777;0.3921105;0.6977264;0.5966134,0.1992571;0.8924608;0.1066777;-0.08763503;-0.01573394;-0.6561263;0.7493805
-0.1191946;1.723164;0.0305582;0.2052908;0.2046904;-0.005935357;0.9570383,-0.1417286;1.029808;0.2827657;0.05098561;0.393289;0.7006076;0.593189,0.1990176;0.8933346;0.1067513;-0.09003066;-0.01403722;-0.6539559;0.7510253
-0.1167356;1.722871;0.03087562;0.2055929;0.2035707;-0.006811535;0.9572064,-0.1406869;1.029313;0.2825575;0.0427586;0.3958282;0.7024447;0.5899687,0.1987847;0.8915763;0.1067994;-0.09298022;-0.01174866;-0.6507434;0.7534918
-0.1120151;1.722662;0.03170493;0.2062624;0.2012091;-0.008497463;0.9575482,-0.1388803;1.028441;0.2814769;0.02786522;0.40186;0.703719;0.585245,0.1990214;0.8902031;0.1070149;-0.09582943;-0.008061443;-0.6463186;0.7569836
-0.1092641;1.722668;0.03231125;0.2067789;0.1997765;-0.009377996;0.9577285,-0.1375813;1.02801;0.2807268;0.01903921;0.4053439;0.7039773;0.5828806,0.200199;0.8895488;0.1073515;-0.09634762;-0.006398056;-0.644857;0.7581792
-0.1064762;1.722693;0.03293049;0.207549;0.1980087;-0.01023854;0.9579202,-0.1359492;1.027628;0.2801172;0.01024479;0.4081805;0.7042878;0.5807431,0.2013797;0.8890807;0.1080691;-0.09637737;-0.00525178;-0.6440054;0.7589077
-0.1037314;1.722624;0.03343333;0.2083245;0.1961035;-0.01111997;0.9581339,-0.1342155;1.027318;0.2797135;0.002223477;0.4101444;0.7049598;0.5786262,0.2024226;0.8893787;0.1088743;-0.09621137;-0.004745539;-0.6434049;0.7594413
-0.1009512;1.722576;0.03387952;0.2092393;0.1940096;-0.0119269;0.9583511,-0.1325245;1.027031;0.2794729;-0.004768856;0.4116138;0.7062005;0.5760487,0.2037499;0.8895818;0.1096965;-0.0959585;-0.004753821;-0.6427926;0.7599916
-0.09748501;1.722502;0.03451012;0.210162;0.1917918;-0.01292109;0.9585828,-0.1314139;1.026818;0.2793505;-0.009009384;0.4127169;0.7073136;0.5738388,0.2046213;0.8897471;0.1102637;-0.0956988;-0.004960675;-0.6422282;0.7604998
-0.09374741;1.722396;0.03508981;0.2110819;0.1894977;-0.0139706;0.9588221,-0.1295421;1.026366;0.2790968;-0.01570587;0.4155251;0.7089577;0.5696238,0.2059804;0.8899613;0.1110462;-0.09488215;-0.0059008;-0.640884;0.7617285
-0.09047437;1.722245;0.03558678;0.2118977;0.1872798;-0.01505366;0.9590616,-0.1270718;1.025843;0.2787285;-0.02233357;0.4202842;0.7094339;0.5653016,0.2072053;0.8901958;0.1118205;-0.09331092;-0.007693686;-0.6389482;0.7635307
-0.08717714;1.722053;0.03609048;0.2127543;0.1848342;-0.01584809;0.9593335,-0.1256129;1.025411;0.2781301;-0.02738724;0.4248139;0.7087629;0.5625284,0.208299;0.890567;0.1126821;-0.09095189;-0.0101222;-0.6369274;0.7654731
-0.08342698;1.721828;0.03670581;0.2136744;0.182356;-0.01658135;0.9595909,-0.1232006;1.024766;0.277006;-0.03538207;0.4326968;0.7062428;0.559234,0.2089006;0.8913183;0.1134026;-0.08908899;-0.01193494;-0.6357075;0.7666791
-0.07941465;1.721518;0.03729713;0.2145885;0.1797151;-0.01703703;0.9598771,-0.1206974;1.024072;0.2757624;-0.04428675;0.4411035;0.7026491;0.5565525,0.210456;0.8922676;0.1145741;-0.08590284;-0.01484659;-0.6340185;0.7683886
-0.07562424;1.72132;0.03788946;0.2156052;0.1768019;-0.01741885;0.9601834,-0.1182201;1.023425;0.2745497;-0.05344519;0.4484161;0.6992137;0.5542264,0.2120323;0.8931943;0.1156276;-0.08289506;-0.01727851;-0.6326627;0.7697843
-0.07207568;1.72113;0.0384985;0.2165074;0.1739539;-0.01764633;0.9604963,-0.1168596;1.022946;0.2736784;-0.06012755;0.4529245;0.697147;0.5524763,0.2136726;0.8945681;0.1169576;-0.07992221;-0.01919479;-0.6315163;0.7709937
-0.06799193;1.720855;0.0391276;0.2174951;0.1708333;-0.0179338;0.9608279,-0.1154804;1.022284;0.2724052;-0.06937785;0.4593001;0.6936976;0.5504668,0.214777;0.8955636;0.1178712;-0.07813761;-0.02011766;-0.630845;0.7717023
-0.063686;1.720563;0.03991616;0.2185867;0.1675566;-0.01821309;0.9611519,-0.1134597;1.021536;0.2711709;-0.07934006;0.4654936;0.6895797;0.5490907,0.2176258;0.8955826;0.1192595;-0.07561827;-0.0212117;-0.629742;0.7728241
-0.05961174;1.720341;0.04058894;0.219424;0.1643619;-0.01860256;0.9615052,-0.1111648;1.020646;0.2700363;-0.08991973;0.4708724;0.6861921;0.5471142,0.2201251;0.8956487;0.1204505;-0.07306816;-0.02211806;-0.6291387;0.773535
-0.05063158;1.720181;0.04247101;0.2211806;0.1583561;-0.01940691;0.9620945,-0.1067957;1.01864;0.26774;-0.1137452;0.4788634;0.681213;0.5419416,0.2260053;0.8958188;0.1231107;-0.06762895;-0.02577435;-0.6277581;0.7750367
-0.0460178;1.720209;0.04348845;0.2221764;0.1554389;-0.01966405;0.9623356,-0.1041913;1.017783;0.2668649;-0.1261922;0.4807903;0.6791012;0.5401275,0.2289999;0.8957798;0.1243081;-0.06496836;-0.02781176;-0.6269927;0.7758131
-0.04175503;1.720234;0.04443881;0.2234087;0.1524922;-0.02000389;0.9625147,-0.1027792;1.017237;0.2662486;-0.1346581;0.4815208;0.6777454;0.5391346,0.2311765;0.89577;0.1251547;-0.06320426;-0.02902806;-0.6267259;0.7761298
-0.03741299;1.720297;0.0453963;0.2247372;0.1494259;-0.02031319;0.9626799,-0.1034144;1.091363;0.3246397;-0.1454007;0.4817277;0.6762649;0.5380174,0.2343316;0.8957466;0.1263531;-0.06105584;-0.0302501;-0.626633;0.7763299
-0.03269057;1.720359;0.04647464;0.22606;0.1461339;-0.02082041;0.9628646,-0.09992804;1.09868;0.3339145;-0.1549678;0.4817182;0.6749443;0.5370127,0.2369709;0.8957616;0.1266949;-0.05979994;-0.03077812;-0.6266474;0.7763954
-0.02742601;1.720564;0.04771442;0.22765;0.1425076;-0.02149536;0.9630187,-0.09480436;1.103166;0.3394889;-0.1630252;0.482278;0.6733925;0.5360721,0.2420637;0.8959695;0.1277454;-0.05841331;-0.03134967;-0.6267756;0.7763745
-0.02268043;1.720796;0.04879367;0.2291425;0.1388143;-0.02237667;0.9631841,-0.09277001;1.105883;0.3420781;-0.1687395;0.4832277;0.6717916;0.5354568,0.2447242;0.8961297;0.1284707;-0.0579108;-0.03158625;-0.6268797;0.7763186
-0.01812029;1.720998;0.04983309;0.2304243;0.1352487;-0.02328509;0.9633641,-0.0885797;1.109418;0.3468598;-0.1774457;0.485746;0.6683202;0.5347074,0.2487067;0.8963426;0.1296028;-0.05745809;-0.03184277;-0.6270157;0.776232
-0.01306981;1.721005;0.05093979;0.2315035;0.1315737;-0.02410415;0.9635941,-0.08557081;1.111746;0.3500454;-0.1839698;0.4880891;0.6652266;0.5342264,0.2527899;0.8965912;0.1309935;-0.05720207;-0.0320673;-0.6271265;0.7761521
-0.008087069;1.720866;0.05205972;0.232332;0.1282972;-0.02467096;0.9638221,-0.07980162;1.115426;0.3561265;-0.1970617;0.4933067;0.65851;0.533085,0.2568199;0.8968025;0.1324608;-0.05717248;-0.03220332;-0.6271739;0.7761104
-0.003430914;1.720897;0.05322597;0.2333075;0.1252334;-0.02495347;0.9639822,-0.07668889;1.117351;0.3592419;-0.2036128;0.4958861;0.6551406;0.5323811,0.2595971;0.8969768;0.1335661;-0.0571527;-0.03227295;-0.6272036;0.7760849
0.001160311;1.7209;0.05440046;0.2342176;0.1222377;-0.02509445;0.9641423,-0.07223559;1.120143;0.3636684;-0.2120275;0.4989951;0.651081;0.5311702,0.2621934;0.8971155;0.1345669;-0.05718428;-0.03231072;-0.6272088;0.7760769
0.006691499;1.720763;0.05587829;0.2351688;0.1191572;-0.02514855;0.964295,-0.06753442;1.123098;0.3682075;-0.2198316;0.5015323;0.6477982;0.5296196,0.2661423;0.8974204;0.1361953;-0.05710407;-0.0324681;-0.6272513;0.7760419
0.01218348;1.7206;0.05740461;0.2361504;0.1161346;-0.02528466;0.9644203,-0.06339464;1.124428;0.3731109;-0.2264797;0.5034122;0.6454713;0.527873,0.2707703;0.8979086;0.1380834;-0.05592868;-0.03382685;-0.6275712;0.7758107
0.01686142;1.720546;0.05871334;0.2373237;0.1130044;-0.02547519;0.9644991,-0.06052499;1.125868;0.3762332;-0.2307011;0.5045048;0.6441671;0.5265934,0.2731037;0.8982265;0.1391343;-0.05401693;-0.03581345;-0.6280592;0.775462
0.02153376;1.720497;0.06006699;0.2387289;0.1097721;-0.0258136;0.9645166,-0.05603696;1.128297;0.3811073;-0.2372596;0.506021;0.642161;0.5246713,0.2764043;0.8986392;0.1405479;-0.05062659;-0.03967438;-0.6287389;0.7749518
0.03109925;1.719969;0.06305602;0.2415287;0.1031139;-0.02666811;0.9645311,-0.04721919;1.132034;0.3910458;-0.2520207;0.5079218;0.6367511;0.5225409,0.2825121;0.8994759;0.1444755;-0.04393093;-0.04884886;-0.6291327;0.7745166
0.03567972;1.719768;0.06448711;0.2429216;0.0997984;-0.02711905;0.9645175,-0.04437411;1.133376;0.3941548;-0.257667;0.5079764;0.6345426;0.5224207,0.2843195;0.8997823;0.1462404;-0.04131635;-0.05291498;-0.628854;0.7746198
0.04039636;1.719637;0.06591014;0.2443365;0.09653436;-0.02755075;0.96448,-0.03984146;1.135426;0.3990722;-0.2666812;0.5073823;0.6313199;0.5223786,0.2857489;0.8999398;0.1472761;-0.03976384;-0.05547727;-0.6286225;0.7747097
0.04578435;1.719407;0.06740787;0.2456423;0.09313688;-0.02801623;0.964469,-0.03678986;1.136723;0.402492;-0.2723098;0.5064961;0.6296744;0.522321,0.2903835;0.8999338;0.1489924;-0.03777714;-0.05901636;-0.6282386;0.7748589
