HEAD,HANDL,HANDR
-0.1178933;1.737236;-0.02550131;0.0655048;-0.08586968;0.01623122;0.9940181,-0.3491522;0.9679862;0.1764426;0.05966969;0.1832484;0.6292805;0.7529048,0.1720253;0.9705309;0.1341256;0.1827779;-0.178315;-0.6127838;0.7478582
-0.1179374;1.737231;-0.02551559;0.06548331;-0.08600313;0.01632441;0.9940065,-0.349169;0.9679834;0.1764407;0.05966808;0.1832479;0.6292822;0.7529036,0.1719979;0.9705262;0.1341221;0.1827847;-0.1783211;-0.6127756;0.7478619
-0.1179952;1.73724;-0.02553929;0.06553081;-0.08612916;0.0164208;0.9939909,-0.3491948;0.967979;0.1764379;0.05966893;0.1832454;0.629283;0.7529035,0.1719695;0.9705216;0.134118;0.182793;-0.1783306;-0.6127679;0.747864
-0.1180571;1.737255;-0.02557278;0.06561457;-0.08624744;0.01648157;0.9939741,-0.3492122;0.9679745;0.1764384;0.05967163;0.1832421;0.6292826;0.7529043,0.17195;0.9705182;0.1341151;0.1827992;-0.1783364;-0.6127616;0.7478662
-0.1180895;1.737278;-0.0255864;0.06572437;-0.08649888;0.01649571;0.9939448,-0.3492302;0.96797;0.1764384;0.05967323;0.1832398;0.6292828;0.7529047,0.1719207;0.9705137;0.1341103;0.1828062;-0.1783443;-0.6127579;0.7478657
-0.1181519;1.737322;-0.02559571;0.06584056;-0.0866958;0.01659387;0.9939183,-0.3492426;0.9679669;0.1764381;0.05967431;0.1832384;0.6292828;0.7529049,0.1718895;0.9705094;0.1341047;0.1828098;-0.1783487;-0.612757;0.7478644
-0.1182126;1.737329;-0.02560432;0.0658588;-0.08691604;0.01670763;0.9938959,-0.349263;0.9679627;0.1764358;0.0596689;0.1832408;0.6292858;0.7529023,0.1718564;0.9705051;0.1340984;0.1828116;-0.1783499;-0.612756;0.7478645
-0.1182767;1.737395;-0.02560726;0.06601193;-0.087205;0.01687584;0.9938576,-0.3492823;0.9679588;0.1764348;0.05967173;0.1832393;0.6292846;0.7529034,0.1718452;0.9705039;0.1340958;0.1828117;-0.1783516;-0.6127576;0.7478629
-0.1183466;1.737443;-0.02561523;0.06614115;-0.0874847;0.01703694;0.9938217,-0.3493024;0.9679554;0.176433;0.05967337;0.1832384;0.6292838;0.7529042,0.1717972;0.9704996;0.1340852;0.1828128;-0.1783536;-0.6127587;0.7478612
-0.1183666;1.737456;-0.02560628;0.06619765;-0.08797129;0.01722833;0.9937717,-0.349324;0.9679527;0.17643;0.05967151;0.1832394;0.6292846;0.7529035,0.1717565;0.9704968;0.1340755;0.1828141;-0.1783544;-0.6127574;0.7478617
-0.1183998;1.737524;-0.02560064;0.06637447;-0.0884385;0.01735962;0.9937161,-0.3493382;0.9679512;0.1764284;0.05967316;0.1832385;0.629284;0.7529041,0.1717141;0.9704948;0.1340646;0.1828164;-0.1783582;-0.6127576;0.7478602
-0.1184232;1.737579;-0.02557987;0.06651177;-0.08902875;0.0173809;0.9936538,-0.3493608;0.9679495;0.1764245;0.05967051;0.1832409;0.6292846;0.7529032,0.1716698;0.9704931;0.1340533;0.1828205;-0.1783623;-0.6127543;0.7478607
-0.1184431;1.73761;-0.02556353;0.0666234;-0.0896546;0.01732247;0.9935911,-0.3493834;0.9679484;0.1764189;0.05966422;0.1832552;0.6292806;0.7529034,0.1716397;0.9704927;0.1340453;0.1828236;-0.1783669;-0.612753;0.74786
-0.1185217;1.737648;-0.02556442;0.06675728;-0.09039683;0.01722213;0.9935166,-0.3494054;0.9679483;0.1763967;0.05960293;0.1833676;0.6292499;0.7529066,0.1715928;0.9704924;0.1340325;0.1828283;-0.1783734;-0.6127503;0.7478596
-0.1189603;1.737667;-0.02570362;0.06688444;-0.09108925;0.0171276;0.9934465,-0.3494181;0.9679493;0.1763557;0.05946101;0.183589;0.6291856;0.7529176,0.1715602;0.9704924;0.1340238;0.1828314;-0.1783763;-0.6127467;0.7478611
-0.119251;1.737714;-0.02578679;0.06702743;-0.09182597;0.01715703;0.9933685,-0.3495062;0.9679551;0.1762113;0.05896355;0.1841791;0.6290174;0.7529533,0.1714951;0.9704932;0.1340044;0.1828348;-0.1783821;-0.6127439;0.7478611
-0.1192599;1.737783;-0.02578112;0.06718885;-0.09251378;0.01724814;0.9932922,-0.3496852;0.9679663;0.1759926;0.05817556;0.1848771;0.628796;0.7530283,0.1713518;0.9704946;0.133956;0.1828374;-0.1783872;-0.6127414;0.7478614
-0.1191723;1.737801;-0.0257411;0.06721437;-0.09338298;0.01736121;0.9932072,-0.3498113;0.9679815;0.1757935;0.05728173;0.1854698;0.6285594;0.7531486,0.171236;0.9704962;0.133918;0.1828397;-0.1783902;-0.6127381;0.7478628
-0.1191538;1.737823;-0.02572145;0.06722295;-0.09421492;0.0175792;0.9931242,-0.349892;0.9679986;0.1756274;0.05640078;0.1859293;0.6283265;0.7532961,0.1711528;0.9704986;0.1338918;0.1828421;-0.1783932;-0.6127353;0.7478638
-0.1191857;1.737801;-0.02572086;0.06715135;-0.09523421;0.01770989;0.9930295,-0.3499313;0.9680101;0.1755267;0.05582511;0.1861998;0.6281621;0.7534093,0.1710879;0.9705015;0.1338723;0.1828452;-0.1783965;-0.6127316;0.7478651
-0.1195191;1.737759;-0.02583539;0.06707799;-0.09660506;0.01782377;0.9929,-0.3499776;0.968027;0.1753827;0.05497825;0.1866081;0.6279041;0.7535857,0.1710313;0.9705046;0.1338557;0.1828495;-0.1784014;-0.6127258;0.7478678
-0.1196092;1.737735;-0.02584872;0.06708568;-0.09821118;0.0180894;0.9927371,-0.3500567;0.9680426;0.1752003;0.05402452;0.1871717;0.6276059;0.7537632,0.1709952;0.9705066;0.1338452;0.1828537;-0.1784066;-0.61272;0.7478703
-0.1195932;1.737805;-0.02582121;0.0673445;-0.09996369;0.01835623;0.9925397,-0.3501739;0.9680579;0.1749598;0.05292305;0.188052;0.6272508;0.7539178,0.1709349;0.9705104;0.1338258;0.1828615;-0.1784245;-0.6127141;0.7478688
-0.1195097;1.737896;-0.02574944;0.06765664;-0.1017246;0.01863941;0.9923342,-0.3502348;0.968067;0.1747462;0.05196336;0.1889912;0.626933;0.754014,0.1708294;0.9705134;0.1337897;0.1828702;-0.1784453;-0.6127002;0.7478732
-0.1194412;1.737972;-0.02554375;0.06796414;-0.1056068;0.01974701;0.9918861,-0.3503259;0.9680803;0.1736145;0.04717147;0.1946344;0.6250148;0.7544858,0.1706982;0.970519;0.1337443;0.1828746;-0.1784829;-0.6126786;0.7478808
-0.1194285;1.737925;-0.02542627;0.06785709;-0.1077418;0.02037349;0.9916512,-0.3503146;0.968082;0.1728736;0.04407053;0.1984281;0.6236205;0.7548388,0.1706354;0.9705221;0.133723;0.1828696;-0.1784977;-0.6126648;0.7478898
-0.1193581;1.737892;-0.02525875;0.06775045;-0.110183;0.02092627;0.9913787,-0.3502899;0.9680871;0.1720807;0.04047889;0.2022927;0.622159;0.75522,0.170581;0.9705254;0.1337047;0.182859;-0.1785077;-0.612654;0.7478989
-0.1191388;1.737872;-0.02501499;0.06772424;-0.1135964;0.02160115;0.9909807,-0.3502947;0.9680973;0.1712568;0.03622848;0.2059312;0.6208715;0.755512,0.1705326;0.9705291;0.133688;0.1828404;-0.1785149;-0.612642;0.7479116
-0.1189114;1.737904;-0.02474687;0.06793664;-0.117314;0.02208962;0.9905221,-0.350342;0.968105;0.1706914;0.03297032;0.2081877;0.6202384;0.7555628,0.1705019;0.9705312;0.1336769;0.182817;-0.1785152;-0.6126273;0.7479292
-0.1186229;1.737937;-0.02447509;0.06830724;-0.1213925;0.02239988;0.9899981,-0.3504705;0.9681371;0.1699036;0.02759796;0.2107297;0.6197536;0.7554712,0.1704585;0.9705353;0.1336582;0.1827447;-0.1785081;-0.6125982;0.7479723
-0.1186184;1.738004;-0.02430703;0.06887891;-0.1252145;0.02251341;0.9894798,-0.3506788;0.9681664;0.1690696;0.02080816;0.2124717;0.6197449;0.755208,0.1704164;0.9705401;0.1336349;0.1825809;-0.178465;-0.612552;0.7480605
-0.1190505;1.738128;-0.0243138;0.06963881;-0.1285453;0.0224558;0.9890007,-0.3509379;0.9681886;0.1681609;0.01253648;0.2136008;0.619958;0.7548971,0.1703806;0.9705476;0.1336057;0.1822763;-0.178362;-0.6125091;0.7481945
-0.1192602;1.738194;-0.02424909;0.07032055;-0.1319919;0.02248524;0.9884976,-0.3512155;0.9682072;0.167202;0.00313808;0.2142272;0.6201741;0.7546397,0.1703534;0.9705567;0.1335738;0.1818288;-0.1781807;-0.6124889;0.7483631
-0.1193101;1.73825;-0.02415556;0.07083468;-0.1348539;0.02280707;0.9880672,-0.3514223;0.9682165;0.1665248;-0.003710091;0.2145267;0.6203155;0.7544357,0.1703409;0.9705647;0.1335532;0.1814893;-0.1780372;-0.6124985;0.7484717
-0.1194111;1.738294;-0.02406052;0.07131681;-0.1381374;0.02301349;0.987574,-0.3517348;0.9682138;0.1654427;-0.01455793;0.2151287;0.6203506;0.754104,0.1703344;0.9705774;0.1335294;0.1809722;-0.1777981;-0.6125403;0.7486195
-0.1196147;1.738355;-0.0240227;0.07170797;-0.1410598;0.02317281;0.9871287,-0.3519343;0.9682097;0.1647155;-0.02160509;0.2158353;0.6201853;0.7538691,0.1703346;0.9705863;0.1335188;0.1806705;-0.1776488;-0.612579;0.7486963
-0.1198235;1.73837;-0.02398968;0.0719859;-0.1441848;0.02322277;0.9866557,-0.3523463;0.968173;0.1631788;-0.03533073;0.2184596;0.6194814;0.7531733,0.1703257;0.9706031;0.1335073;0.1802403;-0.177409;-0.6126426;0.7488047
-0.1199548;1.738409;-0.02379289;0.0724783;-0.1506074;0.02345237;0.9856543,-0.3528724;0.9680266;0.1609777;-0.05224401;0.2246471;0.6178145;0.7517377,0.170287;0.9706199;0.1335022;0.1800345;-0.1772561;-0.6126612;0.7488752
-0.120105;1.738438;-0.02370695;0.0726656;-0.153658;0.0237115;0.9851633,-0.3531427;0.9678984;0.1595576;-0.06185615;0.2298411;0.616249;0.7507224,0.1702575;0.9706285;0.1335006;0.1800067;-0.1772185;-0.6126571;0.7488942
-0.1202011;1.738442;-0.0235943;0.07281923;-0.1565613;0.02404588;0.9846866,-0.3533564;0.9677264;0.1580578;-0.07122724;0.2359608;0.6141819;0.7496865,0.1702213;0.9706377;0.1334962;0.180003;-0.1772062;-0.6126515;0.7489026
-0.1202643;1.738502;-0.02344291;0.07309777;-0.159558;0.02443126;0.9841754,-0.3536424;0.9675102;0.1564211;-0.08073241;0.2433812;0.6123132;0.7478773,0.1701857;0.9706473;0.1334925;0.1800017;-0.1771971;-0.612646;0.7489095
-0.1205088;1.738549;-0.02334765;0.07335597;-0.1624226;0.0246747;0.9836813,-0.3537281;0.9674274;0.1558672;-0.08399835;0.2458371;0.6116368;0.7472676,0.1701629;0.9706539;0.1334908;0.180003;-0.1771947;-0.6126419;0.7489131
-0.1207411;1.738516;-0.02321446;0.0734819;-0.1653342;0.02441692;0.9831932,-0.3540478;0.9669602;0.1533897;-0.09870851;0.2565605;0.6084287;0.7444783,0.1701236;0.9706641;0.1334877;0.1800036;-0.1771869;-0.612633;0.7489221
-0.1209215;1.738405;-0.02305136;0.07345214;-0.1680831;0.02386365;0.9827428,-0.3541791;0.9666778;0.1520873;-0.1067705;0.2618363;0.6065489;0.7430614,0.1700683;0.9706744;0.1334814;0.1800052;-0.1771733;-0.6126137;0.7489409
-0.1211408;1.738272;-0.02285407;0.07338162;-0.1708843;0.02297883;0.9822859,-0.3599082;1.10709;0.2288955;-0.1238048;0.2714606;0.6030737;0.7397863,0.1700078;0.9706835;0.1334797;0.1799965;-0.1771271;-0.6125675;0.7489915
-0.1217732;1.738077;-0.02276264;0.07320473;-0.1740423;0.02204757;0.9817659,-0.3609358;1.117041;0.2358712;-0.1371354;0.2778047;0.6005582;0.7371218,0.169929;0.9706902;0.1334815;0.1799602;-0.1770236;-0.6124698;0.7491047
-0.1220783;1.737779;-0.02256107;0.07281685;-0.1772437;0.02125859;0.9812393,-0.3520135;1.16038;0.2390497;-0.1459299;0.2816545;0.5988861;0.7353303,0.1698067;0.9706921;0.133467;0.1798975;-0.1768954;-0.6123623;0.7492379
-0.1221549;1.737534;-0.02228305;0.07262623;-0.1806393;0.02075131;0.9806448,-0.3508778;1.181511;0.2450081;-0.1594761;0.2875366;0.5957035;0.7328216,0.1694876;0.9706898;0.1334187;0.1797115;-0.1766022;-0.6121277;0.7495432
-0.1221964;1.737459;-0.02203688;0.0729854;-0.1838896;0.02033655;0.9800225,-0.3507987;1.197997;0.2512207;-0.1731707;0.293736;0.5914974;0.7306585,0.169189;0.9706831;0.1334176;0.1794067;-0.1762201;-0.6118382;0.7499425
