HEAD,HANDL,HANDR
-0.05197014;1.729024;-0.05249541;0.02492413;0.1591683;-0.01044633;0.9868816,-0.2643434;0.9528766;0.1007531;0.006301954;0.1734749;0.6518244;0.7382355,0.2294621;0.8940428;0.2537295;-0.1131063;-0.2179095;-0.6188283;0.7461729
-0.05194246;1.728658;-0.05160116;0.02624917;0.1604129;-0.009694403;0.9866533,-0.2643298;0.9526356;0.1013415;0.005983636;0.1775721;0.6492907;0.7394958,0.2290648;0.8990697;0.2568771;-0.1282794;-0.2274351;-0.6162789;0.7429792
-0.05198955;1.728554;-0.05081987;0.02755434;0.1613944;-0.008791298;0.9864661,-0.2645013;0.952153;0.1024069;0.005652249;0.1807813;0.6471791;0.7405711,0.2288134;0.9024441;0.2588003;-0.1392394;-0.2328594;-0.6149861;0.7403926
-0.05192424;1.728649;-0.05005763;0.029129;0.1623035;-0.008038041;0.9862781,-0.2646228;0.9517769;0.1035095;0.005500898;0.1831687;0.6454635;0.7414821,0.2279246;0.9095082;0.2611592;-0.1564947;-0.2409351;-0.6126429;0.7362937
-0.05170036;1.728839;-0.04931678;0.03082862;0.163073;-0.007390574;0.9861046,-0.2644075;0.951508;0.1048578;0.005560592;0.1849517;0.6439625;0.7423438,0.2210744;0.9526283;0.2724096;-0.1792109;-0.2540169;-0.6067646;0.7315707
-0.05127523;1.728763;-0.0484177;0.03222774;0.1638483;-0.006826386;0.9859354,-0.2638275;0.951368;0.1060474;0.005710706;0.185993;0.6429651;0.7429467,0.2164751;0.9737762;0.2762414;-0.1904925;-0.2617799;-0.602748;0.7293004
-0.05065507;1.728796;-0.04758622;0.03338288;0.1644223;-0.006228571;0.9858053,-0.2628263;0.951146;0.1075299;0.006007612;0.1875293;0.6414018;0.7439088,0.2124134;0.9975517;0.2803305;-0.2075012;-0.2739739;-0.5966642;0.7251714
-0.05009948;1.728945;-0.04682313;0.03428651;0.1649364;-0.00580394;0.985691,-0.2617693;0.9509047;0.1087937;0.006212279;0.1893392;0.6395125;0.7450743,0.2085451;1.024259;0.2843022;-0.2250669;-0.2858995;-0.5916069;0.7194496
-0.04932648;1.729066;-0.0460778;0.03476876;0.1651523;-0.005427805;0.9856401,-0.2608996;0.950783;0.109692;0.006156445;0.1908028;0.6379909;0.7460054,0.2056035;1.045024;0.2857229;-0.2370949;-0.2934145;-0.5889041;0.7147628
-0.04831692;1.728812;-0.04516768;0.03515601;0.1654872;-0.005101966;0.9855719,-0.2597138;0.9506221;0.1105651;0.005626217;0.1935226;0.6352091;0.7476809,0.2020475;1.075937;0.2878608;-0.2565716;-0.304607;-0.5852894;0.7062733
-0.04698523;1.728487;-0.04417931;0.03484763;0.1655472;-0.004887618;0.9855739,-0.2581554;0.9504463;0.111384;0.004422009;0.1966656;0.6320441;0.7495487,0.2023294;1.097071;0.288239;-0.276766;-0.3156907;-0.5818219;0.6965798
-0.04578467;1.728321;-0.04326005;0.03446249;0.1654755;-0.005071691;0.9855986,-0.2564185;0.9502022;0.1121341;0.00247328;0.1999954;0.6287922;0.7514094,0.2;1.138614;0.292313;-0.3053679;-0.3320761;-0.5751041;0.682445
