HEAD,HANDL,HANDR
-0.02900177;1.713323;-0.01573566;0.01509372;0.1458035;0.0003692448;0.9891983,-0.2908585;0.8999687;0.07496012;-0.08245946;-0.01647132;0.672417;0.7353805,0.1498185;0.9972903;0.1508607;-0.101158;-0.1508868;-0.6392045;0.7472737
-0.0292633;1.713369;-0.01486458;0.01502777;0.146139;0.0007847598;0.9891496,-0.2891273;0.9000723;0.07424326;-0.08543335;-0.01129102;0.663722;0.7429984,0.1500986;0.9972516;0.1510915;-0.1011168;-0.150749;-0.639334;0.7471963
-0.02951918;1.713649;-0.01423216;0.0156377;0.1465729;0.0007656242;0.989076,-0.288011;0.9001412;0.07388987;-0.0877271;-0.009220753;0.657922;0.7479022,0.1504602;0.9969748;0.1513228;-0.1010988;-0.15049;-0.6395468;0.7470689
-0.02960822;1.713896;-0.01332903;0.01656393;0.1471351;0.000270151;0.9889777,-0.2865839;0.9002264;0.07343644;-0.09311631;-0.008893356;0.6499821;0.7541707,0.1520622;0.9965415;0.1521043;-0.1011929;-0.1494034;-0.640369;0.7465697
-0.0294762;1.714204;-0.01236803;0.01773399;0.1478041;-0.0005560234;0.9888575,-0.2855673;0.9002935;0.07301573;-0.102007;-0.01191366;0.6432272;0.7587565,0.1542793;0.9945737;0.1532525;-0.1015293;-0.1480201;-0.6413361;0.7459691
-0.02934248;1.714618;-0.01147287;0.01912484;0.1485589;-0.001561193;0.9887174,-0.2847247;0.9003274;0.07266651;-0.114779;-0.01689113;0.6360733;0.7628574,0.1565009;0.9918107;0.1545482;-0.1017631;-0.1476379;-0.6415762;0.7458065
-0.02921066;1.714998;-0.0106317;0.02025237;0.1493227;-0.002316124;0.9885784,-0.284041;0.900328;0.07239746;-0.1247595;-0.02034121;0.6301189;0.7661406,0.1580091;0.9902033;0.1554704;-0.1017932;-0.1476622;-0.6415617;0.74581
-0.02857639;1.715333;-0.009431399;0.0212018;0.1502429;-0.003046701;0.9884171,-0.2824513;0.9002512;0.07189922;-0.1411976;-0.02486826;0.6177003;0.7732342,0.1605771;0.9881064;0.157314;-0.102189;-0.1498862;-0.6402542;0.7464356
-0.02817581;1.715513;-0.008350812;0.0217631;0.1510925;-0.003386772;0.9882743,-0.2802843;0.9000658;0.07150106;-0.1570901;-0.02779417;0.6014878;0.7827915,0.1611392;0.9874102;0.1580402;-0.1030903;-0.1571484;-0.6361408;0.7483326
-0.02798934;1.715537;-0.007310845;0.02197697;0.1520026;-0.003451939;0.9881297,-0.2776623;0.8997237;0.07122561;-0.1706687;-0.02794791;0.5822642;0.7943925,0.1619008;0.9866924;0.1598937;-0.1036715;-0.1680198;-0.6302739;0.7508505
