HEAD,HANDL,HANDR
-0.05183329;1.726185;-0.05621959;-0.01194573;-0.1142563;0.04025637;0.9925635,-0.3658966;0.8251969;0.1074158;0.253327;0.4255321;0.4452348;0.7459986,0.1094948;0.9471623;0.2038746;0.3213561;-0.3751984;-0.5395775;0.6817716
-0.05177051;1.726173;-0.05635078;-0.01169167;-0.1140942;0.0401357;0.9925901,-0.3658485;0.8251991;0.107057;0.255447;0.4275788;0.4442082;0.7447162,0.1097305;0.9471449;0.2035004;0.3213083;-0.3748546;-0.5397221;0.6818689
-0.05169732;1.726224;-0.0564663;-0.01137111;-0.1140051;0.04000673;0.9926092,-0.365816;0.825186;0.1067666;0.2569877;0.42935;0.4432498;0.7437376,0.1100236;0.9471401;0.2029943;0.3212394;-0.3745083;-0.5398296;0.6820066
-0.05157296;1.726358;-0.05652554;-0.01096634;-0.113956;0.03995968;0.9926213,-0.3657668;0.8251432;0.106245;0.2590314;0.4323869;0.4414819;0.7423193,0.1101439;0.9471447;0.2027506;0.3211793;-0.3744196;-0.5398375;0.6820773
-0.05140496;1.726539;-0.05659369;-0.01046147;-0.1141062;0.04005896;0.9926055,-0.3657378;0.825098;0.1058342;0.2600916;0.4346719;0.4400784;0.7414471,0.1100151;0.9472303;0.2034512;0.3211054;-0.3744352;-0.5398048;0.6821294
-0.05125464;1.726742;-0.05671723;-0.009825803;-0.1142814;0.04020073;0.9925861,-0.365728;0.8249786;0.1048652;0.2612781;0.4399931;0.436852;0.7397973,0.1099321;0.9473823;0.2037881;0.3210838;-0.3744437;-0.5397961;0.6821417
-0.05107199;1.726866;-0.05681589;-0.00929199;-0.1145058;0.04029689;0.9925615,-0.3657352;0.8248748;0.1040189;0.2611188;0.4441989;0.4342868;0.7388501,0.1096158;0.9478385;0.2047233;0.3207892;-0.3748099;-0.5395643;0.6822627
-0.05082063;1.726859;-0.05691132;-0.008945216;-0.1148496;0.04038565;0.9925213,-0.365721;0.8248138;0.1034591;0.2605909;0.4466299;0.4327302;0.738484,0.1091357;0.948328;0.2059787;0.3201244;-0.3758596;-0.5388881;0.6825318
-0.05059477;1.726827;-0.05700664;-0.008689281;-0.1151851;0.04057007;0.9924772,-0.3656595;0.8247631;0.1027481;0.2593488;0.4489869;0.4311537;0.7384142,0.1087935;0.9488332;0.2069714;0.3194824;-0.3772488;-0.5379655;0.6827938
-0.05041312;1.726784;-0.05710375;-0.008489567;-0.1154674;0.04062735;0.9924438,-0.3655969;0.8247796;0.1022807;0.2579286;0.4496413;0.4308809;0.7386726,0.1088455;0.9490923;0.2069702;0.3191791;-0.3782743;-0.5372964;0.6828953
-0.05024996;1.726731;-0.05716974;-0.008304194;-0.1157207;0.04060876;0.9924166,-0.3655645;0.8248166;0.1020669;0.2570171;0.4495016;0.4311919;0.7388938,0.108938;0.949272;0.2068367;0.3188744;-0.3796778;-0.536456;0.6829194
-0.05011864;1.726738;-0.05727772;-0.007927353;-0.115867;0.04054673;0.9924052,-0.3655655;0.8249231;0.1018288;0.2546426;0.4483667;0.4327119;0.7395166,0.1086462;0.949635;0.2073157;0.3177946;-0.3843269;-0.5340423;0.6827139
-0.05002449;1.726779;-0.05739978;-0.007339671;-0.1159357;0.0405773;0.9924004,-0.3657288;0.825171;0.1018001;0.2491491;0.4446708;0.4372134;0.7409703,0.1076736;0.9502063;0.2094366;0.3165703;-0.3880019;-0.5323355;0.6825371
-0.04991902;1.726771;-0.05756389;-0.006340299;-0.1159839;0.04064957;0.9923987,-0.365986;0.8254864;0.1019442;0.2427901;0.439676;0.4430699;0.7425815,0.1067249;0.9511284;0.2117357;0.3149568;-0.3910709;-0.531072;0.6825162
-0.04979042;1.726785;-0.05772293;-0.005249892;-0.1160239;0.04081579;0.9923936,-0.3663072;0.8258239;0.1021609;0.2361543;0.4342135;0.4494164;0.7441201,0.1067281;0.9511253;0.2117265;0.3149676;-0.3910434;-0.5310847;0.6825171
-0.04964351;1.726966;-0.0578422;-0.003807743;-0.1161353;0.0409544;0.9923814,-0.3666476;0.8261515;0.1023737;0.2294777;0.4287589;0.4556266;0.7455939,0.1051975;0.9525896;0.215838;0.3115043;-0.3935709;-0.530695;0.6829568
-0.04954173;1.727101;-0.05796894;-0.002440386;-0.1161073;0.04096744;0.9923884,-0.3668971;0.8263695;0.1025179;0.2248296;0.4250582;0.4598006;0.7465658,0.1042938;0.9536242;0.218398;0.3085305;-0.3938798;-0.5315272;0.6834812
-0.04944852;1.727185;-0.05811119;-0.0012391;-0.1160398;0.04077506;0.9924065,-0.3672943;0.8266902;0.1027237;0.2179179;0.4198018;0.4657566;0.7478963,0.1038991;0.9543657;0.2197209;0.3046;-0.3930358;-0.5333823;0.6842843
-0.04939248;1.727236;-0.05825055;-0.0002487697;-0.1158936;0.04055434;0.9924334,-0.367677;0.8269912;0.1028304;0.2111973;0.4151193;0.4711038;0.749088,0.1039637;0.9546472;0.2198649;0.3015582;-0.3917695;-0.5351425;0.6849832
-0.04936842;1.72732;-0.05831411;0.0006000783;-0.1157181;0.04019723;0.9924682,-0.3680738;0.8272691;0.1028076;0.2045171;0.4111637;0.4759751;0.7500433,0.1041442;0.9548693;0.2197262;0.298364;-0.3900212;-0.5371197;0.6858314
-0.04933776;1.727311;-0.05839559;0.001283316;-0.1155791;0.03991287;0.9924952,-0.3683736;0.827439;0.1027009;0.2000042;0.4091852;0.4789457;0.750451,0.1044163;0.955223;0.2195622;0.2921916;-0.3863063;-0.5405453;0.687897
-0.0493656;1.727287;-0.05849489;0.001906747;-0.1153494;0.03972786;0.9925284,-0.3690751;0.8277431;0.1022735;0.1906734;0.4070116;0.4842075;0.7506852,0.1046391;0.9553794;0.2193467;0.2877319;-0.3844745;-0.5423035;0.6894175
-0.04939095;1.727278;-0.05858918;0.002679899;-0.1152292;0.03966665;0.992543,-0.370226;0.8277605;0.1015152;0.1747943;0.4030814;0.4929847;0.7509584,0.1040772;0.9559474;0.2200603;0.2783858;-0.3818609;-0.5454803;0.6921958
-0.04918019;1.727515;-0.05875029;0.005637389;-0.1155763;0.03981105;0.9924845,-0.3711582;0.8282135;0.0995758;0.1507027;0.4020109;0.4981053;0.7533705,0.1009959;0.9598849;0.2307593;0.266988;-0.3942097;-0.5432355;0.6915283
-0.04848582;1.727615;-0.05861549;0.007451787;-0.1163142;0.0392621;0.9924082,-0.3718069;0.828558;0.09864913;0.1296561;0.3952258;0.5046243;0.7565316,0.09805792;0.9633133;0.2383983;0.2590008;-0.4015953;-0.5421339;0.6911807
