HEAD,HANDL,HANDR
-0.146876;1.72176;-0.01095243;0.1862118;-0.1388008;0.08934742;0.9685435,-0.3141919;0.9399911;0.1171917;0.01303831;0.1978827;0.5724484;0.7955974,0.08100185;0.9642334;0.211149;0.2625135;-0.4021528;-0.4396695;0.75898
-0.1517795;1.721521;-0.007739738;0.1888341;-0.1396533;0.09152974;0.9677091,-0.3164697;0.9401263;0.1210263;0.0100463;0.1984756;0.5745388;0.7939847,0.07611199;0.9641925;0.2135328;0.2577606;-0.4044957;-0.4383292;0.7601384
-0.1566644;1.721248;-0.004558295;0.1914383;-0.1402065;0.09338955;0.9669395,-0.31969;0.9405111;0.1249113;0.006247342;0.1990554;0.5767475;0.7922754,0.07175567;0.9641639;0.2156498;0.2526984;-0.406352;-0.4373089;0.7614346
-0.162246;1.720665;-0.0005913302;0.1939907;-0.1406231;0.09524156;0.9661893,-0.3213912;0.9408743;0.1277043;0.003356472;0.1995277;0.5779147;0.7913229,0.06730184;0.9641557;0.2179532;0.2476691;-0.4077584;-0.4365669;0.7627599
-0.1677883;1.720072;0.003095031;0.1965094;-0.140984;0.09700535;0.965452,-0.3238295;0.9419302;0.1322287;-0.001690492;0.2005901;0.5791181;0.790179,0.06405884;0.9641427;0.2198195;0.2441533;-0.4087027;-0.4360713;0.7636708
-0.1730373;1.719519;0.006399564;0.1989614;-0.1410605;0.09883433;0.9647529,-0.3268291;0.9429448;0.1367189;-0.00689438;0.201825;0.5796545;0.7894428,0.05892705;0.9641173;0.2227557;0.2389012;-0.4102167;-0.4352939;0.7649626
-0.1790139;1.719009;0.009591877;0.201712;-0.1412911;0.1010311;0.9639201,-0.3289147;0.9432567;0.1399192;-0.01039167;0.2026083;0.5798287;0.7890757,0.05414027;0.964076;0.2251039;0.2333833;-0.4119442;-0.4344355;0.7662246
-0.1856344;1.718342;0.01299442;0.2049194;-0.1413909;0.1035112;0.9629653,-0.3320397;0.9446678;0.1467067;-0.01670454;0.2037866;0.5799862;0.7885481,0.04866011;0.9640429;0.2273282;0.2278733;-0.4137504;-0.4337024;0.7673243
-0.1910019;1.717879;0.01638942;0.2082154;-0.1415846;0.1059538;0.9619636,-0.3334824;0.9455858;0.1502644;-0.01965061;0.2043088;0.5801644;0.7882139,0.0444688;0.9640073;0.2289597;0.2238696;-0.4150756;-0.4332339;0.7680515
-0.196183;1.71739;0.01982205;0.2115144;-0.1416937;0.1083868;0.9609563,-0.3366213;0.946049;0.155805;-0.02426982;0.2052406;0.5807386;0.7874198,0.03929494;0.9639653;0.231475;0.2180237;-0.4170233;-0.4326133;0.7690274
-0.2014531;1.716875;0.02335408;0.2147815;-0.1418665;0.1107957;0.9599308,-0.3390999;0.9472306;0.1618042;-0.02927731;0.2065983;0.5816506;0.7862204,0.03447738;0.9638873;0.2338919;0.2115948;-0.4192752;-0.4318492;0.7700275
-0.2071681;1.716183;0.02702738;0.2180193;-0.1418961;0.1130742;0.9589303,-0.341547;0.9486752;0.1676785;-0.03440651;0.2087351;0.5829125;0.7845119,0.02971486;0.9638042;0.2362904;0.205134;-0.4217753;-0.4310287;0.7708696
-0.2131462;1.715114;0.03098036;0.2209144;-0.1419122;0.1150577;0.958029,-0.3435074;0.9494808;0.1718262;-0.03828445;0.2108825;0.5839235;0.7830046,0.0265212;0.9637204;0.2378459;0.2004316;-0.4237168;-0.4303753;0.7714068
-0.2187625;1.714032;0.03473757;0.2235355;-0.1417276;0.1167639;0.9572415,-0.3464148;0.9508611;0.1778459;-0.0442809;0.2149346;0.5853628;0.780508,0.0188189;0.963438;0.2417106;0.1914016;-0.4277984;-0.4289584;0.7722363
-0.2240525;1.71311;0.03826351;0.2261242;-0.1413879;0.1185878;0.9564592,-0.3483611;0.9519539;0.1818518;-0.04846065;0.2180501;0.5861712;0.778787,0.01562335;0.9632425;0.2432469;0.1870356;-0.4299579;-0.4282715;0.7724878
-0.2298454;1.712089;0.04185894;0.2290489;-0.1409062;0.1205762;0.9555854,-0.3523951;0.9543319;0.1903197;-0.05740668;0.2249422;0.5873742;0.7753044,0.01076681;0.96286;0.2456776;0.180323;-0.4335119;-0.4273582;0.7726035
-0.2362126;1.710923;0.04601577;0.232507;-0.1402952;0.1227266;0.9545658,-0.3544727;0.9550184;0.1943343;-0.06175424;0.2282479;0.5877068;0.7737507,0.007551781;0.9625514;0.2472936;0.1759329;-0.4360137;-0.4268351;0.772497
-0.2418749;1.710052;0.04982619;0.2362792;-0.1396215;0.1248712;0.9534596,-0.35758;0.9567211;0.2008617;-0.06858398;0.2331961;0.5879497;0.7715123,-0.0003376426;0.9614054;0.2511891;0.1676656;-0.4412976;-0.4257349;0.7719421
