HEAD,HANDL,HANDR
-0.08110037;1.721203;-0.04451863;0.195553;0.1322481;-0.02326035;0.9714569,-0.3313775;0.8107858;0.1219707;0.2914661;0.3937507;0.5456364;0.6799183,0.1116124;0.9860216;0.1179092;0.1263978;-0.2061628;-0.5720043;0.7837932
-0.08115351;1.720807;-0.04404317;0.1961919;0.1351174;-0.02409595;0.9709127,-0.3314872;0.8109683;0.122182;0.2862345;0.3855106;0.5503324;0.6830708,0.1118814;0.9858952;0.1181102;0.1202184;-0.2005658;-0.5728946;0.7855653
-0.08112539;1.720203;-0.04366314;0.1965751;0.1377521;-0.02497293;0.9704427,-0.3317368;0.8110329;0.1224497;0.2816597;0.3784542;0.5546441;0.685427,0.112136;0.9858705;0.1183556;0.1139457;-0.1948194;-0.5736156;0.7874179
-0.08099693;1.719888;-0.04323233;0.1967605;0.140092;-0.02577391;0.9700491,-0.3322729;0.8111228;0.1229783;0.2734146;0.3665637;0.562281;0.6889961,0.1123609;0.9858861;0.118594;0.1082324;-0.1893983;-0.5740486;0.7892289
-0.08090246;1.719698;-0.04269783;0.1970736;0.1427709;-0.02647374;0.9695761,-0.3330012;0.8112102;0.1236321;0.2629442;0.3533235;0.5711538;0.6926805,0.1124725;0.985884;0.1187758;0.1044671;-0.18568;-0.5742317;0.7904857
-0.08084068;1.719217;-0.0422344;0.1972101;0.1453271;-0.02697139;0.9691547,-0.3337697;0.8113116;0.1242698;0.2513439;0.3406514;0.5799115;0.6960499,0.1126385;0.9858834;0.1190294;0.09948009;-0.1805633;-0.5743746;0.7922086
-0.08064924;1.718726;-0.04177479;0.1975617;0.1477324;-0.02750689;0.9687043,-0.3346657;0.8105789;0.1250535;0.2393922;0.3293425;0.5878839;0.6990117,0.1126914;0.9858219;0.1194027;0.09477904;-0.1755418;-0.5743979;0.7938951
-0.08040147;1.718484;-0.04120534;0.1980211;0.1500257;-0.02784434;0.9682482,-0.3353233;0.8101089;0.1255364;0.231295;0.3226077;0.5926703;0.7008343,0.11269;0.9853509;0.1199141;0.09081323;-0.1711021;-0.5743944;0.795329
-0.08007565;1.718399;-0.04060466;0.1987251;0.1521567;-0.02798956;0.9677672,-0.3359494;0.8098198;0.1259117;0.2237285;0.3171054;0.5966032;0.702463,0.1127709;0.9851878;0.1201436;0.08830908;-0.1681887;-0.5744256;0.7962095
-0.07965273;1.718245;-0.04008362;0.1992253;0.15392;-0.0281623;0.9673804,-0.3362892;0.8093638;0.127029;0.2110966;0.3100012;0.6016257;0.7052546,0.1129384;0.9849795;0.1204141;0.08506408;-0.1642187;-0.5745428;0.7973062
-0.07897925;1.717784;-0.03967929;0.1996614;0.1558612;-0.02853994;0.9669685,-0.3354527;0.8093573;0.1286826;0.206128;0.3080962;0.6028851;0.7064824,0.1133055;0.9849482;0.120231;0.08223349;-0.1604614;-0.5747353;0.7982287
-0.07811944;1.717482;-0.03939953;0.2000983;0.1575194;-0.02891036;0.9665985,-0.3350395;0.809178;0.1296865;0.2036721;0.3072898;0.6033796;0.7071235,0.1134551;0.9849029;0.1202377;0.08128221;-0.1591372;-0.5748077;0.798539
-0.0773351;1.717296;-0.03908171;0.2003486;0.1592443;-0.02939517;0.9662493,-0.331455;0.8095993;0.1369474;0.1951631;0.3063143;0.6036609;0.7097015,0.1148204;0.984547;0.1196888;0.07821144;-0.1544702;-0.5751379;0.7995238
-0.07640737;1.717139;-0.03878658;0.2004978;0.1607512;-0.0298681;0.9659542,-0.3284922;0.8101219;0.1420457;0.1914376;0.3067625;0.6032735;0.7108512,0.1170233;0.984219;0.1184535;0.0758926;-0.1502333;-0.5754485;0.8003308
-0.07528146;1.716902;-0.03850283;0.2007022;0.1627345;-0.03037098;0.965564,-0.3276409;0.8100673;0.1431969;0.1897074;0.3074176;0.6028334;0.7114052,0.1181777;0.9840783;0.1176542;0.07505514;-0.1483886;-0.5755715;0.8006654
-0.07390787;1.716749;-0.03821916;0.2010156;0.1647125;-0.03087573;0.9651473,-0.3247528;0.8099438;0.1459837;0.1872414;0.3088799;0.6019202;0.712198,0.1204987;0.9838226;0.1158256;0.07413816;-0.1460733;-0.5757549;0.8010446
-0.07275061;1.716748;-0.03787106;0.2015343;0.1665742;-0.03138322;0.9647031,-0.3232575;0.8098844;0.1472209;0.1866029;0.3095627;0.6015326;0.7123964,0.1224859;0.9835292;0.1141151;0.0733854;-0.1439847;-0.5759146;0.8013772
-0.0716546;1.716705;-0.03755181;0.2019729;0.1683596;-0.03193915;0.9642831,-0.3213163;0.8097968;0.1488963;0.1857354;0.3105356;0.6010426;0.7126133,0.1770303;0.9862641;0.02629506;0.07321353;-0.1428843;-0.5751842;0.8021141
-0.07066052;1.716395;-0.03751939;0.2022277;0.170154;-0.0325204;0.9638953,-0.3193114;0.8096619;0.1506474;0.1851767;0.3114276;0.6006709;0.712683,0.1797827;0.9862057;0.0220991;0.07306325;-0.1418971;-0.574587;0.8027309
-0.06941821;1.71621;-0.03726946;0.2023544;0.1717631;-0.03314611;0.9635619,-0.3179975;0.8093582;0.1516956;0.1846572;0.3123831;0.6003333;0.712684,0.1799414;0.9982572;0.02264138;0.07261647;-0.1395878;-0.5736039;0.8038785
-0.06790942;1.716057;-0.03688007;0.2023255;0.1732052;-0.03363914;0.9632927,-0.3161204;0.8095815;0.1529777;0.1843709;0.3135254;0.5998857;0.7126333,0.1803395;1.006246;0.02314371;0.07226236;-0.1377002;-0.5729058;0.8047334
-0.06629595;1.715946;-0.03643429;0.202406;0.1746335;-0.03430331;0.9629944,-0.3159029;0.8096539;0.1531817;0.1844112;0.3144946;0.5994514;0.7125613,0.1856542;0.9695674;0.01606433;0.07207881;-0.136551;-0.5724062;0.8053011
-0.06276534;1.715711;-0.0357146;0.2029847;0.1775787;-0.03588229;0.9622762,-0.3154911;0.8097804;0.1531052;0.1865685;0.3203499;0.5962352;0.7120897,0.1951779;0.9328216;0.006938728;0.07137088;-0.1326883;-0.5705581;0.8073187
-0.06070921;1.715649;-0.03522678;0.2037703;0.1791013;-0.03686905;0.9617906,-0.3151927;0.8098142;0.1529655;0.189144;0.3243383;0.5936891;0.711732,0.1951774;0.9328249;0.00694667;0.07138431;-0.1327308;-0.5705611;0.8073084
-0.05868187;1.715667;-0.03467978;0.2048851;0.1805419;-0.0379348;0.9612428,-0.3146852;0.809669;0.1529468;0.192434;0.3282023;0.5910839;0.711247,0.2014337;0.9170125;0.001417291;0.070134;-0.1279779;-0.5682058;0.8098427
