HEAD,HANDL,HANDR
0.04895835;1.725201;-0.03961577;0.06824116;0.07116633;-0.008472846;0.9950913,-0.1564744;0.9750206;0.1649118;-0.004847854;0.1913617;0.6514533;0.7341429,0.283816;0.9254057;0.1373661;-0.07122658;-0.1160151;-0.6603798;0.7384889
0.04938681;1.724998;-0.03892297;0.06805535;0.07202147;-0.009091838;0.9950371,-0.1563652;0.9762511;0.1694541;-0.005647749;0.1998029;0.6489628;0.7340941,0.2838346;0.9261205;0.1378099;-0.07598248;-0.119193;-0.6583604;0.7393114
0.05045857;1.724875;-0.03805166;0.0679149;0.07298324;-0.009584514;0.9949719,-0.1559904;0.9771767;0.172348;-0.007311553;0.2087242;0.6461051;0.7341177,0.2837375;0.9274915;0.1399607;-0.08046953;-0.1221636;-0.6562303;0.7402449
0.05068749;1.724804;-0.03744465;0.06787455;0.07383071;-0.009746995;0.9949106,-0.1550857;0.9791524;0.1791102;-0.009743989;0.2182782;0.6426972;0.7343025,0.2836809;0.9295455;0.1427776;-0.08451021;-0.1250034;-0.6538805;0.741399
0.05076561;1.724795;-0.03687825;0.06783409;0.07464444;-0.009775257;0.9948524,-0.1555864;0.9818026;0.1881799;-0.01237443;0.2281249;0.6388913;0.7345909,0.2837564;0.9324239;0.1447514;-0.08809958;-0.1281825;-0.6511554;0.7428355
0.05105473;1.724721;-0.03613655;0.0676068;0.07545937;-0.009905379;0.994805,-0.1557029;0.9834073;0.1928515;-0.01387274;0.2353098;0.6360514;0.7347622,0.2837657;0.934443;0.1468838;-0.09041101;-0.1308956;-0.6489559;0.7440083
0.05156592;1.724559;-0.03527871;0.06708537;0.07638665;-0.009900107;0.9947696,-0.156106;0.9861006;0.2013069;-0.01518664;0.2474278;0.6311785;0.7349576,0.2837437;0.9377246;0.1508205;-0.09397756;-0.1359846;-0.6450698;0.7460304
0.05200139;1.724351;-0.0345909;0.06632702;0.07754128;-0.009894296;0.9947312,-0.1555956;0.9874018;0.2046162;-0.01539442;0.2621776;0.6251959;0.7349532,0.2837499;0.9414659;0.1553321;-0.0983046;-0.1420959;-0.6407691;0.7480373
0.05252299;1.724308;-0.03396656;0.0657818;0.07900752;-0.009968774;0.9946513,-0.1552246;0.9881467;0.2060979;-0.01526469;0.2737626;0.6203464;0.7348411,0.2828106;0.9534966;0.1581216;-0.1038988;-0.1488575;-0.636361;0.7497275
0.05302916;1.724338;-0.03314905;0.06540662;0.08080215;-0.01011197;0.9945304,-0.1548296;0.9901296;0.2109917;-0.01543336;0.2931286;0.6117559;0.7345693,0.2827939;0.9559381;0.1596117;-0.106075;-0.1511976;-0.6349022;0.7501911
0.05384323;1.72461;-0.03228059;0.06531817;0.08313778;-0.01031334;0.9943417,-0.1549729;0.9938349;0.2209926;-0.01703633;0.3131076;0.6022337;0.7341579,0.283055;0.9647008;0.1671875;-0.1162659;-0.1607006;-0.6291673;0.7515359
0.0546183;1.724832;-0.0316104;0.06524715;0.08544972;-0.01040587;0.9941493,-0.1537152;0.9961088;0.2246917;-0.02061192;0.3310503;0.5932071;0.7335436,0.2834961;0.9752893;0.1713457;-0.1249613;-0.1678656;-0.6245339;0.7524383
0.05551713;1.72507;-0.03091313;0.06522107;0.08790819;-0.01041071;0.9939366,-0.1530184;0.9977532;0.2276466;-0.02381685;0.3409886;0.5879222;0.7331487,0.2838765;0.9820211;0.1742882;-0.1309788;-0.1729065;-0.6208146;0.7533506
0.05683701;1.725211;-0.03003544;0.0649691;0.09038901;-0.01022233;0.9937326,-0.1514269;1.000957;0.2331565;-0.03092258;0.3566118;0.5791382;0.7324417,0.2845349;0.9957749;0.1817222;-0.1422738;-0.1832125;-0.6118811;0.7561699
0.05823217;1.725238;-0.02917928;0.06447265;0.09249944;-0.01007855;0.9935721,-0.1509529;1.00169;0.2343074;-0.03271277;0.3599809;0.5772114;0.7322367,0.2849497;1.00309;0.1859849;-0.1478649;-0.1886299;-0.6067986;0.7578591
0.05970034;1.725227;-0.0282885;0.06380759;0.09457669;-0.009776415;0.9934225,-0.1496991;1.006884;0.2470826;-0.0400923;0.3732402;0.5699174;0.7309436,0.2864764;1.013774;0.1904573;-0.1564792;-0.1968478;-0.5990637;0.7601894
0.06128064;1.72508;-0.02735037;0.06283906;0.09661453;-0.009463887;0.9932912,-0.1480936;1.012633;0.2600582;-0.04618361;0.3842114;0.5643458;0.7292204,0.2878777;1.025244;0.1970755;-0.1659125;-0.2051437;-0.5914605;0.7619473
0.06297025;1.724934;-0.02637248;0.06192021;0.09857898;-0.00913607;0.9931589,-0.1465618;1.016776;0.2691152;-0.0507297;0.3922387;0.5604061;0.7276816,0.2890176;1.033196;0.2017173;-0.1727469;-0.2107186;-0.586615;0.7626527
0.06515741;1.724662;-0.02520241;0.06075764;0.1005621;-0.00887932;0.9930342,-0.1434596;1.023039;0.2818235;-0.05854867;0.4051038;0.5539691;0.7249698,0.2910385;1.045525;0.209037;-0.1837527;-0.2193741;-0.5795924;0.7630089
0.06722059;1.724364;-0.02414978;0.05962602;0.102384;-0.008833186;0.9929171,-0.1405548;1.026336;0.2870404;-0.06745091;0.4180158;0.5472744;0.7219446,0.2952773;1.055509;0.2143342;-0.1954817;-0.228999;-0.5722761;0.7627887
0.06935392;1.724018;-0.02305594;0.05857733;0.1040892;-0.008831123;0.9928022,-0.1376184;1.03003;0.2932819;-0.07693899;0.4300127;0.5411278;0.7185751,0.2984353;1.06773;0.2216063;-0.2072604;-0.2401425;-0.5638836;0.7625025
0.07219779;1.723711;-0.02163206;0.05770523;0.1059896;-0.008713291;0.9926533,-0.1348234;1.032938;0.2976995;-0.08671007;0.4411116;0.5355694;0.7148898,0.301642;1.080609;0.2293166;-0.2188528;-0.2532422;-0.5534518;0.7626684
0.0752504;1.723424;-0.02022468;0.05697653;0.1077191;-0.008617102;0.99251,-0.1323442;1.035045;0.3017743;-0.09338062;0.4482824;0.5319657;0.7122748,0.3059167;1.084854;0.2333414;-0.2259722;-0.2623582;-0.5458645;0.762979
0.07800619;1.722991;-0.01894413;0.05613699;0.1092049;-0.008522029;0.9923963,-0.1278647;1.038999;0.3110643;-0.1004032;0.4555904;0.5281396;0.7095245,0.3107522;1.094211;0.2401907;-0.2367231;-0.2766641;-0.5335773;0.7633575
0.08055255;1.722659;-0.01777542;0.05552744;0.1105913;-0.008429761;0.9922778,-0.1197445;1.050708;0.3332394;-0.1156946;0.4698756;0.5195061;0.7042336,0.315376;1.105466;0.2480176;-0.2470031;-0.2900262;-0.5216377;0.7633927
0.08415303;1.722425;-0.0162145;0.05505455;0.1118609;-0.008271266;0.9921632,-0.1145079;1.06049;0.3507707;-0.1297068;0.480583;0.5118136;0.7001878,0.3203669;1.117005;0.2560785;-0.2570776;-0.3016663;-0.5105075;0.7630798
0.08732536;1.722224;-0.01494187;0.05464232;0.112783;-0.008025669;0.9920836,-0.1106204;1.067497;0.3618692;-0.1406902;0.4876516;0.5063114;0.6971735,0.3262273;1.119174;0.2600685;-0.263684;-0.3083664;-0.5036457;0.7627069
0.09057596;1.721995;-0.01371935;0.05408917;0.1136754;-0.00784388;0.9920135,-0.107482;1.07419;0.3657699;-0.158502;0.4972456;0.4980841;0.6924855,0.332499;1.129189;0.2679016;-0.2736304;-0.3171825;-0.4939752;0.7619122
0.09384102;1.721843;-0.01255928;0.05363352;0.1145238;-0.007366096;0.9919443,-0.1016342;1.087802;0.3681636;-0.1772148;0.5058413;0.4901747;0.6873487,0.3390271;1.14049;0.2762278;-0.2841515;-0.3259728;-0.4838174;0.7608683
0.0971199;1.72172;-0.01136306;0.05328704;0.1153684;-0.006866825;0.9918687,-0.09797858;1.094869;0.3696564;-0.1896325;0.511039;0.4855546;0.6834585,0.3471175;1.149871;0.2836086;-0.2953717;-0.3357345;-0.4714293;0.7601265
0.1008478;1.721673;-0.01015299;0.05311681;0.1160311;-0.006082791;0.9918056,-0.09162107;1.104662;0.3727722;-0.2076586;0.5185779;0.479009;0.6771302,0.3516937;1.156998;0.2881081;-0.3035116;-0.3429638;-0.4613588;0.7598715
0.1043877;1.721555;-0.00916671;0.05309127;0.1165965;-0.005328899;0.9917451,-0.08561502;1.118056;0.3749905;-0.2247639;0.5263616;0.4722914;0.6703472,0.3577604;1.169639;0.29581;-0.3173001;-0.3546456;-0.444235;0.7590801
0.1083089;1.721468;-0.008140951;0.05319108;0.1170379;-0.00462865;0.9916912,-0.07941347;1.131301;0.3767082;-0.2412449;0.5349664;0.4646783;0.6630881,0.3644049;1.180992;0.3029101;-0.3322917;-0.3659241;-0.4270225;0.7571881
0.1123985;1.721446;-0.007108316;0.05342194;0.1173026;-0.003941152;0.9916505,-0.07382213;1.143243;0.3782216;-0.2572486;0.5443949;0.4558802;0.6554622,0.3724887;1.190354;0.3085632;-0.3475063;-0.3756531;-0.4114895;0.7541887
0.1166074;1.721478;-0.006259009;0.05351529;0.1170331;-0.003470379;0.9916791,-0.0691573;1.154368;0.3803633;-0.2730429;0.5541957;0.4459347;0.6476551,0.3793423;1.202857;0.3154804;-0.3624353;-0.383783;-0.3977163;0.7504486
0.1205603;1.72144;-0.005524367;0.05313987;0.116672;-0.003106994;0.991743,-0.06169327;1.16662;0.3623254;-0.2834611;0.5606217;0.4386473;0.6426054,0.384242;1.210766;0.3201878;-0.3722039;-0.3886018;-0.389062;0.7477189
