HEAD,HANDL,HANDR
-0.0246938;1.729723;-0.04268783;0.1611082;-0.04758116;0.02721454;0.9854134,-0.2174334;0.9412839;0.1410613;0.09118597;0.1858596;0.6140525;0.7616304,0.1855139;0.9833375;0.08794171;0.09932964;-0.166012;-0.6221839;0.7585914
-0.02428544;1.729562;-0.04244791;0.1620594;-0.04969731;0.02861996;0.9851131,-0.2171692;0.9415152;0.1414816;0.08963664;0.1854012;0.6141503;0.7618471,0.185897;0.983418;0.08803053;0.09869723;-0.1660777;-0.6220914;0.7587354
-0.02381307;1.729333;-0.04221627;0.1628758;-0.05208326;0.02997662;0.9848148,-0.2167225;0.9417907;0.1418029;0.08739986;0.1844326;0.6143723;0.7621632,0.1865614;0.9835445;0.08823267;0.09800264;-0.1662275;-0.6219909;0.758875
-0.02334181;1.729162;-0.04198113;0.1637495;-0.05449986;0.03136693;0.9844958,-0.2163753;0.9419096;0.141823;0.08575745;0.1835184;0.614633;0.7623601,0.1872151;0.9836715;0.08849698;0.09755206;-0.1663974;-0.6219232;0.7589513
-0.02279234;1.729145;-0.04170794;0.1650414;-0.0572159;0.03302415;0.9840717,-0.2157131;0.9420338;0.1419687;0.08236839;0.1810904;0.6153802;0.7627115,0.1878702;0.9837705;0.08862215;0.09733388;-0.1665891;-0.6218864;0.7589674
-0.02226284;1.729106;-0.04139285;0.1664002;-0.0598776;0.03464166;0.9836288,-0.2153576;0.9420852;0.142092;0.08059351;0.1796217;0.6158059;0.7629048,0.1883394;0.983804;0.08860609;0.09723151;-0.1667247;-0.6218704;0.7589639
-0.02169751;1.729072;-0.04103239;0.1678791;-0.06274018;0.03624869;0.9831411,-0.2147341;0.9421626;0.1423531;0.07816963;0.1774044;0.616371;0.7632195,0.1890603;0.983837;0.08870991;0.09716107;-0.167005;-0.6218625;0.7589177
-0.02124695;1.728873;-0.0404849;0.1690324;-0.06550058;0.03807159;0.9826944,-0.2141177;0.9422343;0.1426301;0.07575913;0.1751341;0.6168299;0.763616,0.189779;0.9838791;0.08886199;0.09706542;-0.1676348;-0.6218634;0.7587904
-0.02079033;1.728586;-0.03965318;0.1702938;-0.06830309;0.03992548;0.9822121,-0.2135044;0.9423023;0.1428985;0.07344304;0.1730513;0.6170911;0.764106,0.190517;0.9839523;0.08893836;0.09700978;-0.1694173;-0.6218893;0.7583803
-0.0204105;1.728091;-0.03853483;0.1714264;-0.07109876;0.04189568;0.9817346,-0.2130477;0.9423404;0.1430796;0.07179449;0.17169;0.617173;0.7645035,0.1910988;0.984015;0.08891995;0.09704939;-0.1716212;-0.6219159;0.7578577
