HEAD,HANDL,HANDR
-0.145615;1.72998;-0.1708239;0.1035952;0.05420754;0.02603055;0.9928001,-0.3690988;0.8032675;-0.1005304;0.3457077;0.3667579;0.5373395;0.6761961,-0.04371037;1.199598;0.0006016558;0.2486002;-0.27076;-0.5056999;0.7804836
-0.1464316;1.728895;-0.1672719;0.1083415;0.06023144;0.02579388;0.9919521,-0.3697831;0.8019688;-0.100158;0.3496515;0.3677126;0.5376745;0.6733776,-0.04607874;1.19874;0.005133625;0.2358439;-0.2648667;-0.5053982;0.7866359
-0.1467957;1.728439;-0.1654305;0.1107648;0.06331257;0.02564758;0.9914963,-0.3702782;0.80113;-0.09951799;0.3537495;0.3690056;0.537335;0.670796,-0.04667921;1.198409;0.006463161;0.2313313;-0.2628;-0.5053146;0.7887201
-0.1469898;1.72802;-0.1635078;0.1131498;0.06653038;0.02537804;0.9910231,-0.3704882;0.8008792;-0.0990943;0.3549209;0.3694066;0.5371274;0.6701224,-0.04751477;1.197881;0.008490136;0.2240366;-0.2594317;-0.5051551;0.792036
-0.1471033;1.727754;-0.1616898;0.1154702;0.07024536;0.02506386;0.9905069,-0.3712908;0.8000158;-0.09697692;0.3599482;0.371239;0.535774;0.6675066,-0.04829888;1.197314;0.01054997;0.2165537;-0.2559579;-0.5048883;0.7954105
-0.1471334;1.727473;-0.1599968;0.117418;0.07392251;0.02462744;0.9900212,-0.3716545;0.7995396;-0.09580608;0.3641176;0.3728982;0.5341505;0.6656188,-0.04899316;1.196828;0.01247557;0.2088491;-0.2523193;-0.5044554;0.7989005
-0.1471322;1.727106;-0.1582187;0.119286;0.07812865;0.02400838;0.98949,-0.3719947;0.7991095;-0.09465261;0.368513;0.3747675;0.5321378;0.6637597,-0.0497212;1.196399;0.0144439;0.2008361;-0.2482928;-0.5041031;0.8024311
-0.1469242;1.726652;-0.1563735;0.1211979;0.08244362;0.02341593;0.9889216,-0.3722117;0.7985412;-0.09386075;0.3712499;0.3759884;0.5307392;0.662663,-0.05014041;1.196167;0.01570602;0.195764;-0.2455598;-0.5040385;0.8045633
-0.1466128;1.726456;-0.1546221;0.1230578;0.087042;0.0227132;0.988314,-0.3724663;0.7979763;-0.09252922;0.3751476;0.377818;0.5286092;0.661128,-0.05075413;1.195683;0.01769775;0.1881467;-0.2411844;-0.5042246;0.8075818
-0.1462516;1.726379;-0.1528541;0.1250034;0.0918699;0.02182956;0.9876525,-0.3730592;0.797461;-0.0912248;0.3812972;0.3806651;0.5252987;0.6586106,-0.05202733;1.194832;0.02063414;0.1752107;-0.2334783;-0.5047392;0.8124208
-0.1451677;1.726243;-0.1492181;0.1293496;0.101308;0.0198689;0.9862102,-0.3750319;0.7971918;-0.08722249;0.3846414;0.3813903;0.5233662;0.6577843,-0.04905245;1.195118;0.02299769;0.1666705;-0.2274399;-0.5064469;0.8148642
-0.1434493;1.725989;-0.145516;0.1335568;0.1109934;0.01728279;0.9846544,-0.3759896;0.7966482;-0.08067149;0.3875057;0.3818345;0.5218373;0.6570597,-0.0454682;1.195427;0.02683756;0.1579573;-0.2214897;-0.507632;0.8174971
-0.1425888;1.725908;-0.1437854;0.1352949;0.1159529;0.0160007;0.983867,-0.3748202;0.7965531;-0.07612242;0.3888665;0.3821109;0.5210587;0.6567129,-0.04307748;1.195565;0.02905944;0.1522671;-0.2176914;-0.5081571;0.8192689
-0.141317;1.72544;-0.141788;0.1369082;0.1213624;0.01455139;0.9830135,-0.3734308;0.79631;-0.07140999;0.3899288;0.3824948;0.5203511;0.6564206,-0.04042525;1.195697;0.03109869;0.1469551;-0.2142781;-0.5085348;0.8209029
-0.1399742;1.724806;-0.139824;0.1382352;0.1270511;0.0131781;0.982128,-0.3715917;0.7959037;-0.06644939;0.3909222;0.383161;0.5195572;0.6560701,-0.03848299;1.195766;0.03255042;0.1431978;-0.2119673;-0.5087793;0.8220145
-0.138855;1.72444;-0.1379635;0.139759;0.1326004;0.01182926;0.9811955,-0.3702412;0.7956867;-0.06301382;0.3916253;0.3838682;0.5189131;0.6557468,-0.03464687;1.19585;0.03461189;0.1378162;-0.2087738;-0.5091795;0.8235026
-0.1376807;1.724123;-0.1360836;0.1414901;0.1381799;0.01048499;0.9801923,-0.3682469;0.7954443;-0.05749468;0.392623;0.3853193;0.5178487;0.6551403,-0.03132355;1.195927;0.0359382;0.1323197;-0.2054064;-0.5097538;0.8248945
