HEAD,HANDL,HANDR
-0.07516372;1.731109;-0.02974072;0.1323547;-0.02499252;0.02192647;0.9906447,-0.3129779;0.9027488;0.1169396;0.3304275;0.4693123;0.4550952;0.680773,0.1641825;1.052493;0.1388352;0.252645;-0.2780653;-0.5948344;0.7106492
-0.07510933;1.731228;-0.0297323;0.1326223;-0.02509472;0.02195124;0.9906058,-0.3129846;0.9027455;0.1169134;0.3304434;0.4693124;0.455084;0.6807728,0.16423;1.052498;0.1388511;0.2520811;-0.2773599;-0.5952883;0.7107451
-0.07507188;1.731303;-0.02972444;0.1328008;-0.0251859;0.02193635;0.9905798,-0.3129941;0.9027423;0.116875;0.3304694;0.4693103;0.4550702;0.6807709,0.1642767;1.052503;0.1388607;0.2515794;-0.2767307;-0.5956997;0.7108234
-0.07504524;1.731391;-0.02970116;0.1329601;-0.02522486;0.02197025;0.9905568,-0.3130018;0.9027401;0.1168359;0.3304961;0.4693099;0.4550526;0.6807699,0.1643239;1.05251;0.1388635;0.2511546;-0.2762066;-0.5960666;0.7108698
-0.07499954;1.731447;-0.02967881;0.1330698;-0.02531752;0.02197114;0.9905396,-0.3129937;0.9027394;0.1167382;0.3305134;0.4693118;0.4550413;0.6807677,0.1643538;1.052515;0.138862;0.2509134;-0.2759079;-0.5962846;0.7108881
-0.07499158;1.731481;-0.02968028;0.1331058;-0.02531235;0.02210939;0.9905319,-0.3129696;0.9027405;0.1164872;0.3305489;0.4693188;0.4550224;0.6807584,0.1643944;1.052523;0.1388553;0.2506144;-0.2755284;-0.5965697;0.7109016
-0.07499516;1.731539;-0.02966902;0.1332701;-0.02530333;0.02218926;0.9905082,-0.3129655;0.9027411;0.116438;0.3305582;0.4693203;0.4550174;0.6807562,0.1644277;1.052531;0.1388439;0.2503965;-0.27523;-0.5967941;0.7109057
-0.07498729;1.731615;-0.02966307;0.1334465;-0.02530442;0.02228135;0.9904823,-0.3129537;0.9027453;0.1162743;0.3305953;0.4693238;0.4550018;0.6807462,0.1644449;1.05254;0.1388246;0.2502644;-0.2750202;-0.596917;0.7109301
-0.07501289;1.731719;-0.02965665;0.1337067;-0.02521986;0.02229136;0.9904492,-0.3129477;0.9027495;0.1161756;0.3306219;0.4693241;0.4549917;0.6807398,0.1644502;1.052548;0.1387993;0.2502065;-0.2748903;-0.5969613;0.7109636
-0.07504787;1.731827;-0.02963757;0.1340239;-0.02515365;0.02231827;0.9904074,-0.312944;0.9027553;0.1160916;0.3306465;0.4693233;0.4549854;0.6807325,0.1644521;1.052554;0.1387806;0.2501845;-0.2748286;-0.5969779;0.7109814
-0.07506464;1.731939;-0.02962103;0.1342671;-0.0251196;0.02241858;0.9903731,-0.3129425;0.9027599;0.1160416;0.3306623;0.4693223;0.4549822;0.6807276,0.164453;1.05256;0.1387603;0.2501729;-0.2747885;-0.5969842;0.7109956
-0.07506663;1.732004;-0.02959377;0.1344558;-0.02515235;0.02250565;0.9903446,-0.3129418;0.9027681;0.1159736;0.3306844;0.4693198;0.4549792;0.6807207,0.1644528;1.052574;0.1387172;0.2501609;-0.2747426;-0.5969837;0.711018
-0.07509228;1.732024;-0.02958442;0.1344829;-0.02511467;0.02260779;0.9903396,-0.3129427;0.9027783;0.1159127;0.3307051;0.4693151;0.45498;0.6807134,0.1644517;1.052588;0.138684;0.2501592;-0.2747282;-0.5969765;0.7110303
-0.07509464;1.732029;-0.0295618;0.1345492;-0.02514211;0.02273109;0.9903271,-0.3129445;0.9027903;0.1158573;0.3307244;0.4693072;0.4549837;0.6807069,0.1644507;1.052598;0.1386622;0.2501574;-0.274719;-0.5969711;0.7110389
-0.07510917;1.732098;-0.02953623;0.134766;-0.02515822;0.02294277;0.9902923,-0.3129479;0.9028042;0.1158073;0.3307417;0.4692965;0.4549924;0.6807002,0.1644483;1.052615;0.13863;0.2501519;-0.2747027;-0.596959;0.7110573
-0.07510769;1.732215;-0.02949044;0.1351042;-0.02523276;0.02311663;0.9902403,-0.3129497;0.9028183;0.1157597;0.3307559;0.4692827;0.454996;0.6807003,0.164444;1.052633;0.138598;0.2501433;-0.2746848;-0.5969332;0.711089
-0.07511361;1.732281;-0.02944066;0.1353577;-0.02533768;0.02327962;0.9901991,-0.3129509;0.9028286;0.11573;0.3307638;0.4692715;0.4549989;0.6807021,0.1644354;1.052652;0.1385666;0.2501088;-0.2746293;-0.5968919;0.7111571
-0.07499313;1.732354;-0.02934445;0.1358007;-0.02590109;0.02362919;0.9901156,-0.3129506;0.9028636;0.1156479;0.3307884;0.4692181;0.4550098;0.6807199,0.1644108;1.052686;0.1385122;0.2499948;-0.2744763;-0.5967554;0.7113706
-0.07490392;1.732431;-0.02928387;0.1361948;-0.02622958;0.02371732;0.9900507,-0.3129496;0.9028819;0.1156165;0.3307988;0.4691801;0.4550197;0.6807344,0.164396;1.052709;0.1384796;0.249904;-0.2743634;-0.5966613;0.7115251
-0.07481554;1.732463;-0.02921633;0.1365373;-0.02662037;0.02381032;0.9899909,-0.3129499;0.9028918;0.115605;0.3308052;0.469149;0.4550274;0.6807474,0.1643884;1.052734;0.1384488;0.2498235;-0.2742659;-0.5965936;0.7116477
-0.0746254;1.732545;-0.02913322;0.137009;-0.02727584;0.02410291;0.9899008,-0.3129472;0.902907;0.1155892;0.330817;0.4690861;0.4550398;0.6807769,0.1643859;1.052763;0.1384184;0.2497724;-0.2741978;-0.5965413;0.7117359
