HEAD,HANDL,HANDR
0.129916;1.655569;0.2044632;0.305501;0.02962881;-0.006377202;0.9517094,-0.1514583;0.8632044;0.1625079;0.147505;0.1712463;0.64475;0.7302154,0.2506717;1.182826;0.2691622;0.2676708;-0.2770955;-0.5897911;0.7097303
0.1284537;1.654042;0.2090135;0.3063321;0.03078224;-0.005983786;0.9514081,-0.1512074;0.8632749;0.1640266;0.1475155;0.1697379;0.641699;0.7332467,0.2495443;1.182277;0.2718405;0.2649946;-0.2810118;-0.5875638;0.711041
0.1265236;1.652221;0.213713;0.3066072;0.03232712;-0.005702518;0.9512699,-0.1507397;0.8635666;0.166638;0.1478847;0.1681552;0.6366194;0.7379496,0.2481463;1.178109;0.2728292;0.2621102;-0.2861396;-0.5848649;0.712289
0.1242436;1.649906;0.2188469;0.3066379;0.03424603;-0.005788808;0.9511924,-0.1500825;0.8638604;0.1693012;0.1487661;0.1674512;0.6317375;0.7421162,0.2468891;1.169804;0.2724633;0.2597491;-0.2908201;-0.5824838;0.7132089
0.122866;1.647739;0.2232247;0.306721;0.03608081;-0.006037503;0.9510962,-0.1495346;0.8640198;0.1713219;0.1495475;0.167231;0.6284629;0.7447843,0.2454452;1.159154;0.2723454;0.2572781;-0.295399;-0.5801355;0.714136
0.1218829;1.645525;0.2274434;0.3068927;0.0379065;-0.006314637;0.950968,-0.1493445;0.863602;0.1750521;0.1512808;0.1677065;0.6225373;0.7492903,0.2445065;1.148279;0.2732385;0.2544637;-0.2995684;-0.577886;0.7152307
0.1204584;1.643472;0.2321784;0.3075995;0.03948337;-0.00645199;0.9506745,-0.1492341;0.863037;0.1772459;0.1521403;0.1685007;0.619673;0.7513096,0.2437562;1.140521;0.2746083;0.2522393;-0.302228;-0.5764148;0.7160863
0.119109;1.641662;0.2367493;0.3093045;0.04106953;-0.006690119;0.9500523,-0.1490787;0.8618181;0.1806038;0.1530305;0.1709834;0.6156164;0.7538985,0.242891;1.128165;0.2761919;0.2483929;-0.3056995;-0.5744241;0.7175554
0.1183967;1.640046;0.2408893;0.3113647;0.04241772;-0.00672857;0.9493195,-0.148744;0.8617542;0.1848689;0.1531413;0.175521;0.6111914;0.7564293,0.2418513;1.115378;0.278044;0.2436248;-0.3089092;-0.5725604;0.719303
0.1179889;1.638573;0.2448578;0.3138405;0.04360064;-0.006572641;0.9484513,-0.1476752;0.8614618;0.189326;0.152277;0.1821813;0.6062834;0.7589743,0.2410673;1.102287;0.2794514;0.2382354;-0.3114837;-0.5710188;0.7212207
0.1164653;1.634795;0.2527216;0.3171783;0.04541929;-0.005261373;0.9472631,-0.1452065;0.8616279;0.1974449;0.1489568;0.1954226;0.5979808;0.762916,0.2396449;1.080096;0.2816783;0.2282365;-0.3146446;-0.5691464;0.7245546
0.1158035;1.632528;0.2572748;0.3176007;0.04595536;-0.004950381;0.9470974,-0.1432722;0.8619898;0.2026783;0.1462414;0.2029375;0.5934451;0.7650181,0.23958;1.073198;0.2809821;0.2219566;-0.3158343;-0.5683004;0.726649
0.1155658;1.630453;0.2609279;0.317752;0.04657051;-0.005244728;0.947015,-0.1412087;0.8624725;0.2082153;0.1430455;0.2099742;0.5891188;0.7670645,0.2416161;1.065833;0.2754545;0.2157497;-0.3164999;-0.567427;0.7289078
0.1151201;1.62838;0.2645441;0.3182278;0.04737204;-0.005646534;0.9468131,-0.1389343;0.8629206;0.2139748;0.1394965;0.2164565;0.5851725;0.7689347,0.2434628;1.058197;0.2703427;0.2094464;-0.3171747;-0.5662687;0.7313496
0.1141212;1.626113;0.26836;0.3190183;0.04829152;-0.006248749;0.9464968,-0.1375314;0.8632563;0.2180459;0.1370573;0.2207357;0.5827705;0.7699802,0.2447091;1.052773;0.2674867;0.205549;-0.3179274;-0.5652449;0.7329188
0.1135235;1.624001;0.2714803;0.3196914;0.04918259;-0.007013413;0.9462184,-0.1347589;0.8639548;0.2241985;0.1330429;0.2286319;0.57881;0.7713664,0.2469167;1.046506;0.2658514;0.1991516;-0.3198405;-0.5631035;0.7354966
