Time, User ID, Task, Event, Sucess, Inner zone time ratio (%)
10.0, [ ], TRACK, MANUAL MODE, True, 
50.1, [ ], TRACK, MANUAL MODE, False, 30.03
110.0, [ ], TRACK, MANUAL MODE, True, 
150.2, [ ], TRACK, MANUAL MODE, False, 23.12
160.0, [ ], TRACK, MANUAL MODE, True, 
200.2, [ ], TRACK, MANUAL MODE, False, 42.30
210.0, [ ], TRACK, MANUAL MODE, True, 
250.1, [ ], TRACK, MANUAL MODE, False, 46.50
260.0, [ ], TRACK, MANUAL MODE, True, 
