Time, User ID, Task, Event, Sucess, Tank A, Tank B, Tank C, Tank E, Pump A->B, Pump B->A, Pump C->A, Pump D->A, Pump D->C, Pump E->B, Pump F->B, Pump F->E, time spend in optimal range, ratio (%)
0.0, [], RESMAN, Beginning of task, True, 2499,2499,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,0.04,100.00
7.1, Dsktp_mai, RESMAN, Pump activated, True, 2312,2312,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,7.08,100.00
8.3, Dsktp_mai, RESMAN, Pump activated, True, 2304,2280,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,8.27,100.00
8.9, Dsktp_mai, RESMAN, Pump deactivated, True, 2299,2276,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,8.92,100.00
15.0, [], RESMAN, Update, True, 2259,2112,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,15.05,100.00
25.0, [], RESMAN, Update, True, 2192,1846,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,19.27,76.97
30.4, Dsktp_mai, RESMAN, Pump deactivated, True, 2156,1703,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,19.27,63.40
31.3, Dsktp_mai, RESMAN, Pump activated, True, 2131,1678,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active: 10,Inactive,19.27,61.50
35.0, [], RESMAN, Update, True, 2033,1653,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active: 10,Inactive,19.27,55.00
40.1, [], RESMAN, End of task, True, 1899,1620,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active: 10,Inactive,19.27,48.07
40.1, [], RESMAN, Update, True, 1898,1620,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active: 10,Inactive,19.27,48.07
47.1, Dsktp_mai, RESMAN, Pump deactivated, True, 1806,1597,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,19.27,40.96
47.9, Dsktp_mai, RESMAN, Pump activated, True, 1794,1585,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,19.27,40.24
50.9, Dsktp_mai, RESMAN, Pump activated, True, 1784,1546,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,19.27,37.87
53.9, Dsktp_mai, RESMAN, Pump activated, True, 1775,1536,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,35.77
55.1, [], RESMAN, Update, True, 1770,1548,1500,1484,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,34.98
55.3, Dsktp_mai, RESMAN, Pump activated, True, 1770,1550,1500,1481,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,34.86
58.7, Dsktp_mai, RESMAN, Pump deactivated, True, 1803,1583,1455,1436,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,19.27,32.86
60.5, Dsktp_mai, RESMAN, Pump deactivated, True, 1822,1577,1430,1436,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,19.27,31.84
