HEAD,HANDL,HANDR
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728167;0.9401978;1.016039;-0.2384869;-0.5386308;-0.3214969;0.7413775
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728167;0.9401978;1.016039;-0.2384867;-0.538631;-0.3214969;0.7413775
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728167;0.9401978;1.016039;-0.2384867;-0.538631;-0.3214969;0.7413775
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728167;0.9401979;1.016039;-0.2384865;-0.538631;-0.3214968;0.7413775
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384864;-0.538631;-0.3214968;0.7413776
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384864;-0.538631;-0.3214967;0.7413777
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728167;0.9401979;1.016039;-0.2384861;-0.5386311;-0.3214967;0.7413777
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384861;-0.5386311;-0.3214967;0.7413777
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.238486;-0.5386311;-0.3214967;0.7413778
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401978;1.016039;-0.238486;-0.5386311;-0.3214967;0.7413778
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401978;1.016039;-0.2384861;-0.5386309;-0.3214965;0.7413779
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401978;1.016039;-0.2384859;-0.5386311;-0.3214965;0.7413779
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384856;-0.5386312;-0.3214966;0.7413778
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384858;-0.538631;-0.3214964;0.7413779
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384855;-0.5386312;-0.3214965;0.7413779
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384855;-0.5386313;-0.3214965;0.7413779
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384851;-0.5386313;-0.3214965;0.7413779
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384853;-0.5386311;-0.3214963;0.7413781
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384851;-0.5386313;-0.3214964;0.7413779
