HEAD,HANDL,HANDR
-0.01475775;0.9449904;0.4133365;-0.4250076;0.3918659;0.17927;0.7960352,-0.0171;0.04409999;-0.06869999;-0.3319612;0.3233954;0.6630249;0.5878904,0.1732395;0.6957229;0.6143833;-0.07334149;-0.8239337;-0.3986326;0.3960384
-0.01475192;0.9450159;0.4132572;-0.424894;0.3917764;0.1792617;0.7961417,-0.01005286;0.9358364;0.6705255;-0.2592866;0.4954851;0.5011954;0.6603546,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1523421;1.31665;0.3930027;-0.2060429;0.343609;-0.03018337;0.9157337,-0.0101308;0.9357696;0.6705161;-0.2594909;0.4952043;0.5012314;0.6604576,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1523825;1.316535;0.3930724;-0.2063273;0.3436131;-0.03018531;0.915668,-0.01018521;0.9357318;0.6705155;-0.2595853;0.4950738;0.5012859;0.6604772,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1523443;1.316634;0.3929872;-0.2060028;0.3436843;-0.03025141;0.9157122,-0.01020539;0.9357352;0.6706109;-0.2596982;0.4950564;0.5011767;0.6605285,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1523145;1.316725;0.3929569;-0.205685;0.3438864;-0.03023996;0.9157081,-0.01023224;0.935743;0.6706038;-0.259739;0.4950377;0.5011632;0.6605366,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1522851;1.316841;0.3929377;-0.2053616;0.3441681;-0.03025986;0.9156742,-0.01024708;0.9357397;0.6705944;-0.2597554;0.4950343;0.5011529;0.6605406,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1522179;1.31694;0.3929924;-0.2051261;0.3445614;-0.03024653;0.9155796,-0.01028225;0.935725;0.6705805;-0.259771;0.4950335;0.5011404;0.6605445,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1521414;1.316984;0.3930519;-0.204973;0.3449166;-0.03004342;0.9154868,-0.01032084;0.9357111;0.670567;-0.2597796;0.4950361;0.5011282;0.6605484,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.152167;1.316953;0.3931201;-0.2049675;0.3450668;-0.02977067;0.9154403,-0.01036012;0.9356927;0.6705542;-0.259786;0.4950377;0.501119;0.6605518,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1521693;1.317006;0.3931094;-0.2047419;0.3451336;-0.02960513;0.915471,-0.01040027;0.935674;0.6705419;-0.2597922;0.4950362;0.5011126;0.6605552,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1516533;1.317062;0.3929187;-0.2040438;0.3458783;-0.02873203;0.9153736,-0.01042593;0.9356613;0.6705334;-0.2597958;0.4950359;0.5011061;0.6605589,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1517681;1.317087;0.3929019;-0.2037551;0.3457784;-0.0284514;0.9154844,-0.01046642;0.935642;0.6705202;-0.2598053;0.4950295;0.5010998;0.660565,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1519421;1.317579;0.3918692;-0.2015654;0.3447762;-0.0261225;0.9164161,-0.01055837;0.9355521;0.6704387;-0.2602029;0.4946198;0.5011722;0.6606603,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.152153;1.317527;0.391811;-0.2032896;0.3429634;-0.02621679;0.9167127,-0.01061758;0.9354367;0.6702814;-0.262767;0.4923882;0.5019532;0.6607195,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1519504;1.316953;0.3909983;-0.2052329;0.3404096;-0.02656617;0.9172214,-0.01071915;0.9354678;0.6701733;-0.2650923;0.4916018;0.5020591;0.6602957,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.148993;1.317042;0.3882357;-0.2068907;0.3371773;-0.02883277;0.9179741,-0.01103994;0.935518;0.6695931;-0.2677172;0.4917222;0.5020568;0.6591477,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1453328;1.317452;0.3844116;-0.2081111;0.3324374;-0.02879607;0.919427,-0.01196874;0.9360703;0.6683549;-0.2696247;0.4920857;0.5024791;0.6577758,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.139748;1.319118;0.3799501;-0.2044031;0.3294989;-0.03208087;0.9212061,-0.01398423;0.936734;0.6661418;-0.2732355;0.4922609;0.5056397;0.6537201,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1335803;1.320754;0.3739435;-0.2025821;0.3270173;-0.0356858;0.9223593,-0.016309;0.9394755;0.6621145;-0.2763328;0.4944123;0.511092;0.6465151,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1249126;1.323602;0.3658447;-0.1953454;0.3245241;-0.04828355;0.9242256,-0.01879288;0.9432212;0.6555365;-0.2753349;0.5027997;0.5160206;0.6364793,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1185129;1.323195;0.3610168;-0.2026882;0.3258735;-0.05065622;0.9220401,-0.02096123;0.9469559;0.6492596;-0.2699579;0.5170128;0.520865;0.6233137,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.1075143;1.326669;0.3510887;-0.1941649;0.329203;-0.05490186;0.9224485,-0.01975113;0.9501434;0.6401988;-0.2623698;0.530008;0.527455;0.6099548,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.09754233;1.328379;0.3417699;-0.1948322;0.3322231;-0.0443413;0.9217929,-0.01973719;0.9522313;0.6284519;-0.257822;0.536193;0.5382088;0.5969558,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
0.08538672;1.327825;0.3370919;-0.2101038;0.3358924;-0.04134025;0.917237,-0.01991485;0.9570529;0.6174709;-0.2567891;0.5463032;0.5470056;0.5799975,0.1471128;0.6792759;0.6223965;-0.1370012;-0.7415745;-0.4168802;0.5074532
