Time (s),Event type,Data
502.204,Task Assigned,Op3: RESMAN
505.408,Task Assigned,Op3: COMM
510.063,Task Missed,RESMAN
510.856,Task Assigned,Op4: TRACK
511.548,Task Assigned,Op4: COMM
519.343,Task Assigned,Op4: SYSMON
521.896,Task Assigned,Op5: SYSMON
525.807,Task Assigned,Op1: RESMAN
526.844,Task Assigned,Op2: SYSMON
528.465,Task Assigned,Op0: COMM
538.562,Task Assigned,Op3: COMM
542.455,Task Assigned,Op5: COMM
545.318,Task Assigned,Op4: RESMAN
548.967,Task Assigned,Op1: TRACK
553.586,Task Assigned,Op0: RESMAN
559.183,Task Missed,RESMAN
559.971,Task Assigned,Op2: COMM
560.939,Task Assigned,Op2: SYSMON
566.091,Task Assigned,Op5: RESMAN
572.592,Task Assigned,Op1: TRACK
574.614,Task Assigned,Op1: SYSMON
578.126,Task Assigned,Op0: RESMAN
578.706,Task Assigned,Op0: SYSMON
584.408,Task Assigned,Op3: RESMAN
585.631,Task Assigned,Op3: COMM
590.723,Task Assigned,Op4: SYSMON
591.360,Task Assigned,Op4: SYSMON
596.925,Task Assigned,Op5: RESMAN
600.939,Task Assigned,Op5: RESMAN
604.763,Task Assigned,Op1: RESMAN
606.859,Task Assigned,Op2: SYSMON
609.882,Task Assigned,Op3: RESMAN
612.574,Task Assigned,Op4: COMM
615.378,Task Assigned,Op5: SYSMON
617.901,Task Assigned,Op0: RESMAN
623.151,Task Assigned,Op1: RESMAN
628.703,Task Assigned,Op2: SYSMON
630.490,Task Assigned,Op0: SYSMON
End of Trial
