Time (s),Event type,Data
0.008,Task Created,10
15.013,Task Created,5
30.008,Task Created,5
30.431,Task Assigned,Op3: COMM
30.453,Task Assigned,Op3: COMM
31.450,Task Missed,SYSMON
31.635,Task Missed,COMM
31.685,Task Missed,COMM
32.780,Task Missed,COMM
34.275,Task Assigned,Op4: RESMAN
36.750,Task Assigned,Op5: RESMAN
44.967,Task Assigned,Op3: RESMAN
47.588,Task Assigned,Op4: TRACK
50.287,Task Assigned,Op5: COMM
60.016,Task Created,20
62.802,Task Missed,SYSMON
64.203,Task Missed,SYSMON
64.532,Task Missed,SYSMON
64.742,Task Assigned,Op4: RESMAN
65.974,Task Assigned,Op4: RESMAN
68.310,Task Missed,SYSMON
68.815,Task Assigned,Op4: SYSMON
76.948,Task Assigned,Op5: COMM
78.967,Task Assigned,Op5: TRACK
82.351,Task Assigned,Op1: TRACK
84.317,Task Assigned,Op2: COMM
86.584,Task Assigned,Op0: SYSMON
90.004,Task Created,10
92.201,Task Missed,SYSMON
98.140,Task Assigned,Op4: SYSMON
100.356,Task Assigned,Op3: RESMAN
102.478,Task Assigned,Op4: TRACK
108.737,Task Assigned,Op4: COMM
111.725,Task Missed,RESMAN
111.889,Task Missed,SYSMON
111.968,Task Missed,COMM
111.995,Task Assigned,Op2: COMM
112.026,Task Missed,RESMAN
116.580,Task Assigned,Op1: COMM
119.728,Task Assigned,Op0: COMM
120.033,Task Created,10
121.857,Task Missed,RESMAN
123.251,Task Missed,RESMAN
124.640,Task Missed,RESMAN
125.195,Task Assigned,Op5: SYSMON
125.391,Task Missed,TRACK
126.389,Task Missed,RESMAN
126.659,Task Missed,TRACK
127.367,Task Assigned,Op5: RESMAN
128.855,Task Assigned,Op4: RESMAN
129.996,Task Assigned,Op4: COMM
133.535,Task Assigned,Op3: SYSMON
134.561,Task Assigned,Op3: RESMAN
145.585,Task Missed,COMM
149.229,Task Assigned,Op4: RESMAN
150.009,Task Created,10
151.325,Task Missed,SYSMON
152.016,Task Missed,TRACK
152.357,Task Missed,TRACK
152.921,Task Missed,COMM
154.414,Task Missed,COMM
154.580,Task Assigned,Op1: SYSMON
155.473,Task Missed,COMM
156.029,Task Assigned,Op0: SYSMON
158.288,Task Assigned,Op1: COMM
160.494,Task Assigned,Op0: TRACK
171.597,Task Missed,COMM
171.678,Task Assigned,Op5: SYSMON
173.503,Task Assigned,Op5: TRACK
174.937,Task Assigned,Op4: COMM
176.388,Task Assigned,Op4: TRACK
178.135,Task Assigned,Op3: TRACK
179.131,Task Assigned,Op3: SYSMON
179.135,Task Assigned,Op3: SYSMON
180.019,Task Created,15
182.298,Task Missed,SYSMON
189.497,Task Assigned,Op2: SYSMON
190.591,Task Missed,SYSMON
194.895,Task Assigned,Op1: SYSMON
196.872,Task Assigned,Op1: SYSMON
207.166,Task Assigned,Op5: SYSMON
208.826,Task Assigned,Op3: SYSMON
210.027,Task Created,15
210.616,Task Assigned,Op3: TRACK
211.760,Task Missed,TRACK
