Time (s),Event type,Data
0.009,Task Created,10
14.756,Task Assigned,Op5: COMM
15.008,Task Created,5
20.590,Task Assigned,Op0: SYSMON
30.005,Task Created,5
36.093,Task Missed,SYSMON
36.546,Task Assigned,Op5: TRACK
38.963,Task Assigned,Op3: RESMAN
41.579,Task Missed,TRACK
50.051,Task Assigned,Op1: SYSMON
50.067,Task Assigned,Op0: SYSMON
58.363,Task Assigned,Op5: SYSMON
60.011,Task Created,20
60.871,Task Assigned,Op1: SYSMON
63.009,Task Missed,TRACK
63.522,Task Missed,COMM
64.120,Task Missed,COMM
64.226,Task Missed,TRACK
64.428,Task Missed,SYSMON
64.867,Task Missed,SYSMON
66.486,Task Missed,SYSMON
66.925,Task Assigned,Op0: COMM
69.384,Task Missed,TRACK
70.559,Task Missed,TRACK
72.159,Task Assigned,Op4: SYSMON
72.159,Task Assigned,Op3: SYSMON
73.338,Task Missed,SYSMON
75.026,Task Assigned,Op5: COMM
79.850,Task Assigned,Op2: SYSMON
83.807,Task Assigned,Op1: SYSMON
88.274,Task Assigned,Op0: COMM
90.007,Task Created,10
93.646,Task Assigned,Op5: SYSMON
96.511,Task Assigned,Op4: RESMAN
96.514,Task Assigned,Op3: COMM
104.757,Task Missed,SYSMON
106.090,Task Assigned,Op5: TRACK
107.558,Task Missed,RESMAN
114.148,Task Missed,COMM
116.896,Task Assigned,Op3: SYSMON
116.966,Task Assigned,Op3: COMM
120.007,Task Created,10
120.406,Task Missed,TRACK
121.244,Task Missed,SYSMON
121.273,Task Missed,RESMAN
121.273,Task Missed,TRACK
122.047,Task Missed,TRACK
122.138,Task Assigned,Op2: COMM
122.171,Task Assigned,Op2: COMM
128.060,Task Assigned,Op1: COMM
128.066,Task Assigned,Op1: SYSMON
135.358,Task Assigned,Op0: COMM
135.361,Task Assigned,Op0: SYSMON
135.970,Task Missed,SYSMON
141.108,Task Assigned,Op2: SYSMON
141.354,Task Assigned,Op3: TRACK
141.382,Task Assigned,Op3: SYSMON
147.452,Task Missed,RESMAN
147.524,Task Assigned,Op5: SYSMON
147.717,Task Missed,COMM
150.013,Task Created,10
153.604,Task Assigned,Op4: COMM
153.622,Task Assigned,Op4: COMM
157.609,Task Assigned,Op5: SYSMON
160.649,Task Missed,RESMAN
