Time (s),Event type,Data
0.017,Task Created,10
5.644,Task Assigned,Op1: SYSMON
5.647,Task Assigned,Op1: TRACK
10.132,Task Assigned,Op5: RESMAN
10.157,Task Assigned,Op5: SYSMON
15.018,Task Created,5
21.680,Task Assigned,Op2: RESMAN
21.761,Task Assigned,Op2: COMM
23.165,Task Assigned,Op3: TRACK
23.441,Task Missed,SYSMON
30.018,Task Created,5
33.529,Task Assigned,Op5: COMM
33.552,Task Assigned,Op5: COMM
36.253,Task Assigned,Op1: SYSMON
36.346,Task Assigned,Op1: TRACK
57.042,Task Assigned,Op1: RESMAN
58.673,Task Assigned,Op5: SYSMON
60.004,Task Created,20
61.080,Task Assigned,Op3: RESMAN
70.507,Task Assigned,Op1: COMM
71.207,Task Missed,COMM
73.649,Task Missed,TRACK
79.025,Task Assigned,Op2: TRACK
80.720,Task Assigned,Op4: TRACK
88.014,Task Assigned,Op3: RESMAN
90.016,Task Created,10
90.205,Task Assigned,Op0: TRACK
97.923,Task Assigned,Op5: TRACK
105.773,Task Assigned,Op2: RESMAN
107.574,Task Assigned,Op4: RESMAN
108.347,Task Missed,RESMAN
109.459,Task Assigned,Op1: TRACK
109.505,Task Missed,RESMAN
110.446,Task Missed,RESMAN
111.315,Task Assigned,Op0: COMM
112.592,Task Missed,RESMAN
115.049,Task Assigned,Op3: RESMAN
115.970,Task Missed,RESMAN
119.499,Task Assigned,Op3: RESMAN
119.558,Task Assigned,Op3: SYSMON
120.049,Task Created,10
120.136,Task Missed,TRACK
120.258,Task Missed,TRACK
120.365,Task Missed,RESMAN
121.618,Task Assigned,Op5: SYSMON
122.454,Task Missed,TRACK
122.610,Task Missed,TRACK
122.822,Task Missed,COMM
123.138,Task Missed,RESMAN
125.511,Task Missed,SYSMON
133.046,Task Assigned,Op2: RESMAN
133.624,Task Missed,TRACK
135.426,Task Assigned,Op0: SYSMON
136.256,Task Missed,RESMAN
138.458,Task Assigned,Op4: RESMAN
139.298,Task Missed,TRACK
142.904,Task Assigned,Op1: RESMAN
143.581,Task Missed,RESMAN
143.628,Task Missed,SYSMON
143.673,Task Missed,RESMAN
143.736,Task Missed,TRACK
143.744,Task Missed,TRACK
143.744,Task Assigned,Op5: COMM
143.789,Task Missed,RESMAN
143.834,Task Missed,RESMAN
144.251,Task Missed,SYSMON
144.262,Task Missed,TRACK
