Time (s),Event type,Data
393.832,Task Assigned,Op3: SYSMON
399.202,Task Missed,TRACK
399.413,Task Missed,SYSMON
399.765,Task Assigned,Op1: SYSMON
401.026,Task Missed,SYSMON
406.293,Task Assigned,Op4: COMM
409.212,Task Assigned,Op3: TRACK
411.934,Task Assigned,Op1: SYSMON
414.950,Task Assigned,Op1: SYSMON
417.173,Task Assigned,Op0: COMM
419.908,Task Assigned,Op5: SYSMON
420.001,Task Created,7
421.290,Task Missed,SYSMON
421.290,Task Missed,RESMAN
426.365,Task Assigned,Op4: COMM
430.524,Task Assigned,Op3: SYSMON
432.922,Task Missed,TRACK
436.820,Task Assigned,Op0: COMM
438.672,Task Assigned,Op1: COMM
440.268,Task Missed,RESMAN
440.364,Task Missed,RESMAN
444.006,Task Assigned,Op3: COMM
445.719,Task Assigned,Op4: SYSMON
446.442,Task Assigned,Op4: TRACK
447.729,Task Missed,TRACK
451.887,Task Assigned,Op5: COMM
454.344,Task Missed,SYSMON
454.379,Task Missed,TRACK
454.921,Task Assigned,Op1: RESMAN
458.329,Task Missed,RESMAN
459.859,Task Assigned,Op2: TRACK
463.462,Task Assigned,Op0: SYSMON
466.100,Task Missed,SYSMON
466.221,Task Missed,TRACK
466.258,Task Missed,TRACK
466.420,Task Missed,TRACK
469.960,Task Assigned,Op3: TRACK
477.273,Task Assigned,Op0: RESMAN
480.791,Task Assigned,Op2: TRACK
481.640,Task Missed,TRACK
481.938,Task Assigned,Op2: RESMAN
483.291,Task Assigned,Op2: RESMAN
485.960,Task Assigned,Op1: COMM
489.995,Task Assigned,Op4: TRACK
491.520,Task Missed,SYSMON
492.344,Task Assigned,Op4: SYSMON
494.724,Task Missed,COMM
494.941,Task Assigned,Op4: TRACK
502.256,Task Assigned,Op5: TRACK
504.193,Task Assigned,Op5: SYSMON
505.468,Task Assigned,Op3: TRACK
510.867,Task Assigned,Op1: TRACK
513.241,Task Assigned,Op0: RESMAN
517.919,Task Missed,TRACK
519.517,Task Missed,RESMAN
