Time (s),Event type,Data
0.013,Task Created,10
11.244,Task Assigned,Op5: TRACK
15.021,Task Created,5
23.533,Task Assigned,Op5: TRACK
30.003,Task Created,5
30.089,Task Assigned,Op0: RESMAN
36.726,Task Assigned,Op5: TRACK
54.280,Task Assigned,Op3: TRACK
56.835,Task Missed,RESMAN
58.672,Task Assigned,Op0: TRACK
60.008,Task Created,20
61.511,Task Missed,RESMAN
63.078,Task Missed,RESMAN
63.129,Task Missed,COMM
64.093,Task Missed,COMM
68.299,Task Missed,RESMAN
68.457,Task Missed,TRACK
68.546,Task Missed,RESMAN
68.728,Task Missed,RESMAN
69.167,Task Assigned,Op1: COMM
69.609,Task Missed,TRACK
69.921,Task Missed,RESMAN
70.545,Task Missed,TRACK
70.853,Task Missed,RESMAN
71.517,Task Missed,TRACK
71.893,Task Missed,RESMAN
72.139,Task Assigned,Op1: RESMAN
72.535,Task Missed,TRACK
72.915,Task Missed,RESMAN
73.611,Task Missed,TRACK
73.981,Task Missed,RESMAN
74.754,Task Missed,TRACK
75.006,Task Missed,RESMAN
76.951,Task Missed,RESMAN
78.869,Task Missed,RESMAN
79.935,Task Missed,RESMAN
81.012,Task Missed,RESMAN
82.104,Task Missed,RESMAN
83.236,Task Missed,RESMAN
83.843,Task Assigned,Op5: TRACK
84.347,Task Missed,RESMAN
85.426,Task Missed,RESMAN
86.186,Task Assigned,Op4: COMM
90.015,Task Created,10
90.395,Task Missed,RESMAN
91.593,Task Missed,RESMAN
92.029,Task Missed,TRACK
92.232,Task Missed,RESMAN
93.173,Task Missed,COMM
94.247,Task Assigned,Op3: SYSMON
94.523,Task Missed,COMM
94.886,Task Missed,RESMAN
96.674,Task Assigned,Op3: SYSMON
99.611,Task Missed,TRACK
99.687,Task Missed,RESMAN
100.240,Task Missed,RESMAN
101.005,Task Missed,RESMAN
102.050,Task Missed,SYSMON
102.344,Task Assigned,Op0: TRACK
106.238,Task Assigned,Op2: RESMAN
107.831,Task Missed,SYSMON
110.741,Task Assigned,Op1: RESMAN
116.475,Task Assigned,Op1: SYSMON
118.375,Task Missed,SYSMON
118.986,Task Assigned,Op2: TRACK
120.012,Task Created,10
120.543,Task Missed,SYSMON
121.203,Task Missed,TRACK
122.005,Task Missed,TRACK
122.192,Task Assigned,Op3: RESMAN
123.673,Task Assigned,Op3: COMM
125.929,Task Missed,TRACK
126.286,Task Missed,RESMAN
126.547,Task Assigned,Op4: TRACK
126.702,Task Missed,SYSMON
127.324,Task Missed,COMM
128.438,Task Missed,TRACK
129.034,Task Assigned,Op5: TRACK
134.159,Task Missed,RESMAN
135.568,Task Missed,TRACK
135.713,Task Missed,RESMAN
137.098,Task Missed,RESMAN
137.205,Task Missed,TRACK
137.630,Task Assigned,Op0: COMM
139.777,Task Assigned,Op0: SYSMON
142.181,Task Assigned,Op0: SYSMON
142.499,Task Missed,COMM
